date,C,WFC,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2016-02-24,38.09,47.61,0.8000420079815166,0.8048486944578034,0.8988645064772123,0.07032383720750678,-1.3368982090950676,-2,0.9197450775893481,0.007422068283028203,-0.006143764079459349
2016-02-25,38.62,47.75,0.8087958115183246,0.8035238425146632,0.8960328280755754,0.07047528701005693,-1.3126443252045354,-2,0.9228186468082287,0.007422068283028203,-0.006143764079459349
2016-02-26,39.5,48.07,0.8217183274391512,0.8057132139704702,0.8933669720083937,0.07020572239803698,-1.24852725737887,-2,0.9273840623918665,0.007422068283028203,-0.006143764079459349
2016-02-29,38.85,46.92,0.828005115089514,0.8106311713246201,0.8907487002922557,0.06965379361461113,-1.150224916835391,-2,0.9296250466992765,0.007422068283028203,-0.006143764079459349
2016-03-01,41.27,48.72,0.8470853858784894,0.8211293295813992,0.8884845581517894,0.06880926695255356,-0.9788685674683042,0,0.9364065500123796,0.0,0.0
2016-03-02,42.22,49.57,0.8517248335686907,0.831465894698834,0.8862254824997053,0.06772762377290778,-0.8085266358152683,0,0.9364065500123796,0.0,0.0
2016-03-03,42.83,49.77,0.8605585694193288,0.8418184462790348,0.8840751009535627,0.06642616823231975,-0.6361446971732421,0,0.9364065500123796,0.0,0.0
2016-03-04,42.83,50.11,0.8547196168429455,0.8484187041597938,0.881960509700536,0.06527867507515865,-0.5138248517164874,0,0.9364065500123796,0.0,0.0
2016-03-07,42.61,50.07,0.8510085879768324,0.8530193987372574,0.8797867557746598,0.0640704840530844,-0.4177798471949239,0,0.9364065500123796,0.0,0.0
2016-03-08,41.05,49.05,0.836901121304791,0.8509825458225176,0.87747186561853,0.06304380377864427,-0.4201732479375781,0,0.9364065500123796,0.0,0.0
2016-03-09,41.15,48.79,0.8434105349456856,0.8493196860979166,0.875380382508773,0.0620327210516947,-0.42011209518181264,0,0.9364065500123796,0.0,0.0
2016-03-10,41.37,48.51,0.8528138528138528,0.8477707427768214,0.87361508096857,0.06112091908902694,-0.4228394889498385,0,0.9364065500123796,0.0,0.0
2016-03-11,42.99,50.07,0.8585979628520072,0.8485464119786338,0.8719162750862789,0.06007185427410721,-0.3890318251374209,0,0.9364065500123796,0.0,0.0
2016-03-14,42.67,49.88,0.8554530874097834,0.849435311865224,0.8702325893671237,0.059069039430965344,-0.3520842340123992,0,0.9364065500123796,0.0,0.0
2016-03-15,42.59,49.98,0.8521408563425371,0.8524832588727733,0.8683501861521822,0.0577806560919832,-0.2746062151691338,0,0.9364065500123796,0.0,0.0
2016-03-16,42.23,49.54,0.8524424707307225,0.8542896460297806,0.8666811109317726,0.0567432094745828,-0.21837793485302412,0,0.9364065500123796,0.0,0.0
2016-03-17,42.85,49.73,0.8616529257993164,0.8560574606268734,0.8651747314556448,0.05562761240513626,-0.16389829501166273,0,0.9364065500123796,0.0,0.0
2016-03-18,43.54,50.54,0.8614958448753463,0.8566370370315411,0.8635543456541411,0.05425565826747089,-0.12749469536428557,0,0.9364065500123796,0.0,0.0
2016-03-21,43.6,50.67,0.8604697059403986,0.8576403607376643,0.8619434769940997,0.05284705444178367,-0.0814258486473591,0,0.9364065500123796,0.0,0.0
2016-03-22,43.38,50.37,0.8612269207861823,0.8594575736263932,0.8603603646273579,0.05137748789207649,-0.01757172329758685,0,0.9364065500123796,0.0,0.0
2016-03-23,42.37,49.76,0.8514871382636656,0.8592665071329819,0.8585266436373342,0.049640193949678384,0.014904524676066266,0,0.9364065500123796,0.0,0.0
2016-03-24,41.94,48.9,0.8576687116564417,0.8584696643044069,0.856855504023025,0.0478938656250689,0.033702860696567874,0,0.9364065500123796,0.0,0.0
2016-03-28,41.92,48.7,0.8607802874743327,0.8583265528242041,0.8552315039309214,0.04601360528515608,0.06726377718290144,0,0.9364065500123796,0.0,0.0
2016-03-29,41.72,48.05,0.8682622268470344,0.8598850570055314,0.8538222957058755,0.044234740537106416,0.13705881906485065,0,0.9364065500123796,0.0,0.0
2016-03-30,41.88,48.65,0.8608427543679343,0.8598082237218817,0.8523032290292264,0.04233053870503596,0.1772950433007945,0,0.9364065500123796,0.0,0.0
2016-03-31,41.75,48.36,0.8633167907361455,0.8621741542163777,0.8505858761021959,0.03962888291112574,0.29242000437333393,0,0.9364065500123796,0.0,0.0
2016-04-01,42.47,48.45,0.8765737874097006,0.8659551693670295,0.8491684650024605,0.03702565495061591,0.4533803490298513,0,0.9364065500123796,0.0,0.0
2016-04-04,42.06,48.5,0.8672164948453609,0.8672424108412351,0.847520813933512,0.03379364744799115,0.5835888812557127,0,0.9364065500123796,0.0,0.0
2016-04-05,41.51,47.51,0.8737107977267944,0.8683321250171872,0.8463551473347786,0.031553570642179785,0.6964973293079698,0,0.9364065500123796,0.0,0.0
2016-04-06,41.86,48.08,0.8706322795341098,0.8702900300504222,0.845352502652814,0.029728060198152974,0.8388548472852432,0,0.9364065500123796,0.0,0.0
2016-04-07,40.27,46.93,0.858086511826124,0.8692439742684179,0.8440653373428291,0.02734306073243059,0.920841933972864,0,0.9364065500123796,0.0,0.0
2016-04-08,40.47,47.07,0.8597833014659019,0.8658858770796583,0.8431821826060976,0.025904160365089943,0.876449734466499,0,0.9364065500123796,0.0,0.0
2016-04-11,41.12,47.03,0.8743355305124388,0.8673096842130738,0.8426093244830276,0.024786492695728198,0.9965250038906512,0,0.9364065500123796,0.0,0.0
2016-04-12,41.9,47.77,0.8771195310864558,0.8679914308850061,0.8422924909700662,0.02420546256878473,1.0617000126277747,-2,0.9364065500123796,0.0,0.0
2016-04-13,44.25,49.03,0.9025086681623495,0.8743667086106541,0.8428354628325836,0.02518164786238921,1.2521518031854046,-2,0.9364065500123796,0.0,0.0
2016-04-14,44.98,48.79,0.9219102275056363,0.8871314517465565,0.8437015667073146,0.02696065736580814,1.6108615027436348,1,0.9362865500123796,-0.006669630947087594,0.006148800983808158
2016-04-15,44.92,48.25,0.9309844559585493,0.901371682645086,0.8451207665912835,0.029221149767088735,1.925006938541375,1,0.9333663753379484,-0.006669630947087594,0.006148800983808158
2016-04-18,45.11,48.84,0.9236281736281735,0.9112302112682329,0.8465765010271262,0.030900835565311407,2.0922965045542488,2,0.9356067031400341,0.0,0.0
2016-04-19,45.63,49.88,0.9147955092221332,0.9187654068953683,0.8478628045298018,0.03210447137573891,2.2084961791069104,2,0.9356067031400341,0.0,0.0
2016-04-20,46.74,50.45,0.9264618434093161,0.9235560419447617,0.8494732295741744,0.03357470174621241,2.2065069387829985,2,0.9356067031400341,0.0,0.0
2016-04-21,46.6,50.05,0.9310689310689312,0.9253877826574206,0.8510043065921971,0.03515585907874712,2.1158201794645044,2,0.9356067031400341,0.0,0.0
2016-04-22,46.97,50.62,0.9278941129988147,0.9247697140654738,0.8525511520620868,0.036461062107535316,1.9807037378777241,1,0.9354867031400341,-0.006387055567383436,0.005926511260371395
2016-04-25,46.69,50.51,0.924371411601663,0.9249183616601716,0.8541967807945593,0.037440630541461295,1.8888993011828714,1,0.9366231624602607,-0.006387055567383436,0.005926511260371395
2016-04-26,47.1,50.92,0.924980361351139,0.9269553320859728,0.8554847771946748,0.03852686200006025,1.855083730701615,1,0.9364343392943857,-0.006387055567383436,0.005926511260371395
2016-04-27,47.33,50.93,0.9293147457294325,0.9275259125499961,0.8567963438752673,0.03968067874045565,1.7824687207937766,1,0.9350245816264912,-0.006387055567383436,0.005926511260371395
2016-04-28,46.73,50.41,0.9269986113866296,0.9267118486135357,0.8584501571710584,0.0405095788325075,1.6850753182281843,1,0.9357750291115281,-0.006387055567383436,0.005926511260371395
2016-04-29,46.28,49.98,0.9259703881552622,0.9263271036448254,0.8597513443125817,0.04140879408342565,1.6077686106510263,1,0.936100804274891,-0.006387055567383436,0.005926511260371395
2016-05-02,46.68,50.59,0.9227119984186597,0.9259952210082247,0.8610400676022884,0.04215080121223501,1.5410182377999972,1,0.9371611539167641,-0.006387055567383436,0.005926511260371395
2016-05-03,45.57,50.0,0.9114,0.9232791487379968,0.8623493042647762,0.04247892250390539,1.4343547548226738,-2,0.9407541439529405,-0.006387055567383436,0.005926511260371395
2016-05-04,44.66,48.94,0.9125459746628525,0.9199253945246808,0.8640064325163254,0.04246520411126965,1.3168183970535858,-2,0.9402842625832658,-0.006387055567383436,0.005926511260371395
2016-05-05,44.23,48.96,0.9033905228758169,0.9152037768225183,0.8656040248333622,0.042106254626008914,1.1779663717351505,-2,0.9431492267024482,-0.006387055567383436,0.005926511260371395
2016-05-06,44.41,49.02,0.905956752345981,0.9112010496606621,0.8671988639265014,0.04178572134248984,1.0530435833212972,-2,0.9423551473759414,-0.006387055567383436,0.005926511260371395
2016-05-09,43.89,48.88,0.8979132569558101,0.9062413013680921,0.8692544303142059,0.040153985012867495,0.9211257871923204,0,0.9447327015466769,0.0,0.0
2016-05-10,44.84,49.4,0.9076923076923078,0.9054997629065535,0.8711578063012851,0.03919702972695259,0.8761367084316147,0,0.9447327015466769,0.0,0.0
2016-05-11,44.47,49.08,0.9060717196414018,0.9042049119022636,0.8728227108602616,0.03850561062514249,0.8150033341247871,0,0.9447327015466769,0.0,0.0
2016-05-12,44.0,49.2,0.8943089430894309,0.9023885959449863,0.8739526677239274,0.0381163618937229,0.7460294426930024,0,0.9447327015466769,0.0,0.0
2016-05-13,43.11,48.24,0.8936567164179104,0.8999285887593722,0.8752566118103255,0.037411756982160135,0.6594712181203234,0,0.9447327015466769,0.0,0.0
2016-05-16,43.15,48.27,0.8939299772115185,0.8991319328105138,0.876642586927849,0.03651186004881156,0.6159463213487213,0,0.9447327015466769,0.0,0.0
2016-05-17,43.7,47.62,0.9176816463670727,0.9011298005454668,0.8785470255619874,0.03559618131652089,0.6344156633733706,0,0.9447327015466769,0.0,0.0
2016-05-18,45.87,48.65,0.9428571428571428,0.9084868851886151,0.8810180680330298,0.03480688048150197,0.7891777940336676,0,0.9447327015466769,0.0,0.0
2016-05-19,45.06,48.38,0.9313766019016122,0.9159004169510514,0.8832069779316981,0.03374153926381903,0.968937390903514,0,0.9447327015466769,0.0,0.0
2016-05-20,44.9,48.75,0.921025641025641,0.9213742018725973,0.8850774750901533,0.03263934945961007,1.1120542346396882,-2,0.9447327015466769,0.0,0.0
2016-05-23,45.11,48.7,0.9262833675564681,0.9278448799415873,0.8868202257587754,0.03198400395879908,1.2826616153393025,-2,0.9447327015466769,0.0,0.0
2016-05-24,45.86,49.2,0.9321138211382113,0.9307313148958152,0.8885553708595869,0.031560343834204405,1.3363588260568602,-2,0.9447327015466769,0.0,0.0
2016-05-25,46.94,50.5,0.9295049504950494,0.9280608764233964,0.889929030269863,0.031518397877344694,1.2098281867601655,-2,0.9447327015466769,0.0,0.0
2016-05-26,46.11,50.55,0.9121661721068249,0.9242187904644389,0.8909363859121652,0.03124132389081909,1.0653327198484837,-2,0.9447327015466769,0.0,0.0
2016-05-27,46.58,50.85,0.9160275319567355,0.9232191686506578,0.8918608686211219,0.031147726898813465,1.006760465423576,-2,0.9447327015466769,0.0,0.0
2016-05-31,46.57,50.72,0.9181782334384858,0.9215981418270613,0.8929185122310478,0.03094190485129383,0.9268863611935748,0,0.9447327015466769,0.0,0.0
2016-06-01,46.94,51.0,0.920392156862745,0.9192538089719682,0.8940749050458129,0.03064416105845007,0.8216542093656781,0,0.9447327015466769,0.0,0.0
2016-06-02,46.97,51.11,0.9189982390921542,0.9171524666913891,0.8954431903422689,0.029871138659806118,0.7267642722415399,0,0.9447327015466769,0.0,0.0
2016-06-03,45.39,50.19,0.9043634190077705,0.9155919160715783,0.8964590717433036,0.029098040855401994,0.6575303273286419,0,0.9447327015466769,0.0,0.0
2016-06-06,45.74,50.49,0.9059219647454941,0.9135708026293299,0.8973442069421644,0.028550489403354317,0.5683473742926112,0,0.9447327015466769,0.0,0.0
2016-06-07,45.54,50.27,0.9059080962800875,0.9111167751976502,0.8981327091659657,0.02811220281788912,0.461865835124887,0,0.9447327015466769,0.0,0.0
2016-06-08,45.56,50.0,0.9112,0.9092783438251013,0.8990618243758026,0.027594174514564928,0.37024189449501893,0,0.9447327015466769,0.0,0.0
2016-06-09,45.01,49.14,0.915954415954416,0.9086695791975536,0.9001253837026673,0.026977951595114926,0.31671031304072544,0,0.9447327015466769,0.0,0.0
2016-06-10,43.9,48.34,0.9081505999172527,0.90942701537945,0.9010538525224429,0.026258107096336157,0.3188791494484955,0,0.9447327015466769,0.0,0.0
2016-06-13,43.16,47.97,0.8997289972899728,0.9081884218883458,0.9016884537139537,0.025744824131150056,0.25247669750159496,0,0.9447327015466769,0.0,0.0
2016-06-14,41.96,46.88,0.8950511945392491,0.9060170415401781,0.9022477095416854,0.02521594988324158,0.14948205464977557,0,0.9447327015466769,0.0,0.0
2016-06-15,42.01,46.78,0.8980333475844378,0.9033837110570657,0.9028737702357528,0.024620387626054455,0.020712136179907466,0,0.9447327015466769,0.0,0.0
2016-06-16,42.12,46.85,0.8990394877267875,0.9000007254115399,0.9035039796847628,0.024012728807044657,-0.14589155199200848,0,0.9447327015466769,0.0,0.0
2016-06-17,42.48,46.6,0.9115879828326179,0.900688201994613,0.9045056604275786,0.023039926655704868,-0.1656888274868022,0,0.9447327015466769,0.0,0.0
2016-06-20,42.8,46.93,0.9119965906669507,0.9031417206700085,0.9054111250777538,0.02222103038443525,-0.1021286757852086,0,0.9447327015466769,0.0,0.0
2016-06-21,42.92,47.23,0.9087444420918909,0.905880370180537,0.9062105276547132,0.021437150533889154,-0.015401182804322004,0,0.9447327015466769,0.0,0.0
2016-06-22,42.68,46.97,0.9086651053864169,0.9080067217409328,0.9068839089637029,0.020851484047561986,0.05384809899711683,0,0.9447327015466769,0.0,0.0
2016-06-23,44.46,47.91,0.9279899812147778,0.9137968204385307,0.9080030294111502,0.02012790093502518,0.2878487451862693,0,0.9447327015466769,0.0,0.0
2016-06-24,40.3,45.71,0.8816451542332093,0.907808254718649,0.9083085021361014,0.01956955877523977,-0.025562529191270975,0,0.9447327015466769,0.0,0.0
2016-06-27,38.48,45.01,0.8549211286380803,0.8963931623128751,0.9079476244899076,0.0203488207206366,-0.5678197442328743,0,0.9447327015466769,0.0,0.0
2016-06-28,40.44,46.1,0.8772234273318871,0.8900889593608742,0.9081144066980165,0.020048110849376154,-0.8991095207209109,0,0.9447327015466769,0.0,0.0
2016-06-29,42.12,46.97,0.8967426016606345,0.8877044586157178,0.9084982700969138,0.019593559449483586,-1.0612574777342978,-2,0.9447327015466769,0.0,0.0
2016-06-30,42.39,47.33,0.8956264525670823,0.8812317528861786,0.9089148396474634,0.019032525851021716,-1.4545146018965598,-2,0.9447327015466769,0.0,0.0
2016-07-01,42.17,47.03,0.8966617052944929,0.8842350630984355,0.9095577595386027,0.017904551551373687,-1.4143161512595628,-2,0.9447327015466769,0.0,0.0
2016-07-05,40.78,46.21,0.8824929668902834,0.889749430748876,0.9099362539623426,0.017054357687585134,-1.1836753739580421,-2,0.9447327015466769,0.0,0.0
2016-07-06,41.06,46.65,0.8801714898177921,0.8903390432460571,0.9100335199507651,0.01686344853150258,-1.1678795513217128,-2,0.9447327015466769,0.0,0.0
2016-07-07,41.29,46.8,0.8822649572649574,0.8874435143669217,0.9101192770537401,0.01670557556369075,-1.3573769188835196,-2,0.9447327015466769,0.0,0.0
2016-07-08,41.98,47.79,0.8784264490479179,0.8840035136630886,0.9097179067351662,0.017174255038385728,-1.4972639578604139,-2,0.9447327015466769,0.0,0.0
2016-07-11,42.29,48.08,0.8795757071547421,0.8805863140351387,0.9090123313959846,0.017530784761799367,-1.6214914361841881,-1,0.9446127015466769,0.007093875620714117,-0.006239600665557404
2016-07-12,43.44,48.35,0.898448810754912,0.8837774828080642,0.9084700706425907,0.017341801831280437,-1.4238767156240333,-2,0.9510859663307977,0.007093875620714117,-0.006239600665557404
2016-07-13,43.33,48.27,0.897659001450176,0.8872749851345411,0.9080372511062909,0.017281036201899348,-1.2014479762196104,-2,0.9508048080657637,0.007093875620714117,-0.006239600665557404
2016-07-14,44.45,48.94,0.9082550061299551,0.8924729949075406,0.9079282427214211,0.017258296415760876,-0.8955256904595899,0,0.9544452785494575,0.0,0.0
2016-07-15,44.33,47.71,0.9291553133514986,0.9026187677682568,0.9079731338871241,0.017310745254816566,-0.3093088160012925,0,0.9544452785494575,0.0,0.0
2016-07-18,44.57,48.28,0.9231565865782932,0.9113349436529671,0.9078412614789468,0.01716131348119533,0.20357894970268303,0,0.9544452785494575,0.0,0.0
2016-07-19,44.35,48.37,0.9168906346909242,0.9150233084401694,0.9076578701738154,0.017001438873701043,0.43322440653816674,0,0.9544452785494575,0.0,0.0
2016-07-20,44.47,48.61,0.914832339024892,0.9184579759551127,0.9074988856308691,0.016886711491050307,0.6489771753400139,0,0.9544452785494575,0.0,0.0
2016-07-21,44.13,48.3,0.913664596273292,0.9195398939837801,0.9073102895462383,0.01675080587958438,0.7300905117912619,0,0.9544452785494575,0.0,0.0
2016-07-22,44.3,48.32,0.9168046357615893,0.9170697584657981,0.907101787713441,0.016548909788761584,0.6023339833012078,0,0.9544452785494575,0.0,0.0
2016-07-25,44.04,48.12,0.915211970074813,0.9154808351651023,0.9069053436915774,0.016377793226395123,0.523604819952438,0,0.9544452785494575,0.0,0.0
2016-07-26,44.15,47.97,0.9203668959766521,0.9161760874222477,0.9068119521552672,0.016282937257310393,0.5750888257446493,0,0.9544452785494575,0.0,0.0
2016-07-27,44.29,48.0,0.9227083333333334,0.9177512862839359,0.9068118910705116,0.016282876604727103,0.6718343127557946,0,0.9544452785494575,0.0,0.0
2016-07-28,44.08,48.13,0.9158528984001661,0.9181889467093107,0.9068861060438478,0.016314260559821655,0.6928196729491554,0,0.9544452785494575,0.0,0.0
2016-07-29,43.81,47.97,0.913279132791328,0.9174838461152586,0.9068983253459891,0.01631884554674899,0.6486684820286365,0,0.9544452785494575,0.0,0.0
2016-08-01,43.42,47.81,0.9081782053963606,0.9160770931795682,0.9069781200546649,0.016313106855667937,0.557770705813887,0,0.9544452785494575,0.0,0.0
2016-08-02,42.99,47.7,0.9012578616352201,0.9122552863112816,0.9068998052094855,0.01632936423003534,0.3279662959532428,0,0.9544452785494575,0.0,0.0
2016-08-03,43.89,47.57,0.922640319529115,0.912241683550438,0.9073119229190406,0.01641054606885956,0.3004019860589548,0,0.9544452785494575,0.0,0.0
2016-08-04,43.84,47.84,0.9163879598662208,0.9123486958436489,0.9074568504552725,0.016452306432022498,0.2973349304298749,0,0.9544452785494575,0.0,0.0
2016-08-05,45.72,48.68,0.9391947411668036,0.917531817518744,0.9080089008140291,0.016953132990082772,0.5617201676106507,0,0.9544452785494575,0.0,0.0
2016-08-08,45.96,48.91,0.9396851359640156,0.9238332036322751,0.9087651706952722,0.017339331578720373,0.8690088697245434,0,0.9544452785494575,0.0,0.0
2016-08-09,45.9,48.93,0.9380748007357449,0.93119659145238,0.9095054721005694,0.017629135652994486,1.230413094480109,-2,0.9544452785494575,0.0,0.0
2016-08-10,45.45,48.18,0.943337484433375,0.935336024433232,0.910328930554267,0.018038434952397094,1.386322812647441,-2,0.9544452785494575,0.0,0.0
2016-08-11,45.73,48.24,0.9479684908789385,0.9416521306357755,0.9108337112961314,0.01866071231048626,1.6515135556923954,1,0.9543252785494575,-0.0065602449158101905,0.006218905472636815
2016-08-12,45.58,47.9,0.9515657620041753,0.9441263348032498,0.910978854948582,0.018945705044025866,1.7496039222420061,1,0.9531948874261326,-0.0065602449158101905,0.006218905472636815
2016-08-15,46.39,48.27,0.9610524135073544,0.9483997903119177,0.9114734518086778,0.01985287421450332,1.8599996204208924,1,0.950182084069202,-0.0065602449158101905,0.006218905472636815
2016-08-16,46.62,48.44,0.9624277456647399,0.9532703792977166,0.9121634868859961,0.020883286277484234,1.9684110951464941,1,0.9497304416689138,-0.0065602449158101905,0.006218905472636815
2016-08-17,46.63,48.61,0.9592676404032093,0.9564564104916835,0.9127132247667752,0.021680220088970404,2.017654135677443,2,0.9506004121070142,0.0,0.0
2016-08-18,46.5,48.53,0.9581702039975273,0.9584967531154012,0.9131474978144304,0.02232674267865295,2.0311630744206193,2,0.9506004121070142,0.0,0.0
2016-08-19,46.53,48.65,0.9564234326824256,0.9594682872510514,0.9135961391842199,0.022923486000860596,2.001098265120294,2,0.9506004121070142,0.0,0.0
2016-08-22,46.66,48.63,0.9594900267324695,0.9591558098960743,0.9143848700946474,0.023675262329895547,1.8910430295377598,1,0.9504804121070142,-0.006429489927132448,0.006169031462060456
