date,MSFT,AAPL,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-02-17,244.2,130.84,1.8664017120146743,1.8217358997239117,,,,0,0.0,0.0,0.0
2021-02-18,243.79,129.71,1.87950042402282,1.8389388872539354,,,,0,0.0,0.0,0.0
2021-02-19,240.97,129.87,1.8554708554708554,1.848174107707982,,,,0,0.0,0.0,0.0
2021-02-22,234.51,126.0,1.861190476190476,1.858456082683094,,,,0,0.0,0.0,0.0
2021-02-23,233.27,125.86,1.8534085491816306,1.8631944033760912,,,,0,0.0,0.0,0.0
2021-02-24,234.55,125.35,1.8711607499002794,1.864146210953212,,,,0,0.0,0.0,0.0
2021-02-25,228.99,120.99,1.8926357550210762,1.8667732771528633,,,,0,0.0,0.0,0.0
2021-02-26,232.38,121.26,1.9163780306778821,1.878954712194269,,,,0,0.0,0.0,0.0
2021-03-01,236.94,127.79,1.8541356913686515,1.877543755229904,,,,0,0.0,0.0,0.0
2021-03-02,233.87,125.12,1.8691656010230178,1.8806951655981812,,,,0,0.0,0.0,0.0
2021-03-03,227.56,122.06,1.8643290185154842,1.8793288193212223,,,,0,0.0,0.0,0.0
2021-03-04,226.73,120.13,1.887372013651877,1.8782760710473823,,,,0,0.0,0.0,0.0
2021-03-05,231.6,121.42,1.9074287596771535,1.876486216847237,,,,0,0.0,0.0,0.0
2021-03-08,227.39,116.36,1.9541938810587829,1.8964978547852631,,,,0,0.0,0.0,0.0
2021-03-09,233.78,121.09,1.9306301098356593,1.9087907565477913,,,,0,0.0,0.0,0.0
2021-03-10,232.42,119.98,1.937156192698783,1.923356191384451,,,,0,0.0,0.0,0.0
2021-03-11,237.13,121.96,1.9443260085273861,1.934746990359553,,,,0,0.0,0.0,0.0
2021-03-12,235.75,121.03,1.9478641659092786,1.942834071605978,,,,0,0.0,0.0,0.0
2021-03-15,234.81,123.99,1.8937817565932737,1.930751646712876,,,,0,0.0,0.0,0.0
2021-03-16,237.71,125.57,1.8930477024767063,1.9232351652410855,,,,0,0.0,0.0,0.0
2021-03-17,237.04,124.76,1.8999679384418082,1.9157975143896906,,,,0,0.0,0.0,0.0
2021-03-18,230.72,120.53,1.914212229320501,1.9097747585483138,,,,0,0.0,0.0,0.0
2021-03-19,230.35,119.99,1.919743311942662,1.9041505877549902,,,,0,0.0,0.0,0.0
2021-03-22,235.99,123.39,1.912553691547127,1.907904974745761,,,,0,0.0,0.0,0.0
2021-03-23,237.58,122.54,1.9387954953484576,1.9170545333201112,,,,0,0.0,0.0,0.0
2021-03-24,235.46,120.09,1.960696144558248,1.9292001745433993,,,,0,0.0,0.0,0.0
2021-03-25,232.34,120.59,1.926693755701136,1.9316964798195262,,,,0,0.0,0.0,0.0
2021-03-26,236.48,121.21,1.950994142397492,1.9379466459104921,,,,0,0.0,0.0,0.0
2021-03-29,235.24,121.39,1.9378861520718347,1.9430131380154336,,,,0,0.0,0.0,0.0
2021-03-30,231.85,119.9,1.933694745621351,1.9419929880700124,1.8100496055084647,0.1104050721708036,1.1950844283442248,-2,1.0,0.0,0.0
2021-03-31,235.77,122.15,1.930167826442898,1.9358873244469421,1.8141828536371483,0.11017847142656687,1.104612082868739,-2,1.0,0.0,0.0
2021-04-01,242.35,123.0,1.9703252032520324,1.9446136139571215,1.8193010767852604,0.11018019777958593,1.1373417337891079,-2,1.0,0.0,0.0
2021-04-05,249.07,125.9,1.9783161239078633,1.9500780102591957,1.824330674111055,0.11044042902145679,1.1385987655273417,-2,1.0,0.0,0.0
2021-04-06,247.86,126.21,1.9638697409080106,1.9552747280264309,1.8292726013031921,0.10993005202921048,1.1462027388994376,-2,1.0,0.0,0.0
2021-04-07,249.9,127.9,1.9538702111024238,1.9593098211226454,1.834117806575952,0.10888606016456356,1.1497524509334438,-2,1.0,0.0,0.0
2021-04-08,253.25,130.36,1.942697146363915,1.9618156851068491,1.838392251959993,0.10801261803988317,1.1426760630992452,-2,1.0,0.0,0.0
2021-04-09,255.85,133.0,1.9236842105263157,1.9524874865617057,1.8426418024666946,0.1062246057374205,1.0340888848911485,-2,1.0,0.0,0.0
2021-04-12,255.91,131.24,1.9499390429747028,1.9468120703750735,1.8475934821640179,0.10413098910192424,0.9528247937214899,0,1.0,0.0,0.0
2021-04-13,258.49,134.43,1.9228594807706614,1.9386100183476038,1.8520999615768052,0.10135740470801995,0.8535149160538189,0,1.0,0.0,0.0
2021-04-14,255.59,132.03,1.9358479133530258,1.9350055587977242,1.8564879988721363,0.09912771706825527,0.7920848199452014,0,1.0,0.0,0.0
2021-04-15,259.5,134.5,1.929368029739777,1.9323397354728964,1.86042436165104,0.097203813312351,0.7398410758924262,0,1.0,0.0,0.0
2021-04-16,260.74,134.16,1.943500298151461,1.9363029529979254,1.8644967119205416,0.09543534870167311,0.752407174639736,0,1.0,0.0,0.0
2021-04-19,258.74,134.84,1.9188668051023436,1.9300885054234538,1.8690832173167031,0.09116002060239856,0.669210995166729,0,1.0,0.0,0.0
2021-04-20,258.26,133.11,1.940199834723161,1.9335565762139537,1.874341191839719,0.08576523848845911,0.6904357221860103,0,1.0,0.0,0.0
2021-04-21,260.58,133.5,1.9519101123595504,1.9367690160152584,1.8801063044036743,0.07876186433247961,0.71941811042451,0,1.0,0.0,0.0
2021-04-22,257.17,131.94,1.9491435500985297,1.940724120087009,1.8855442049615703,0.07164218713506075,0.7702153902897012,0,1.0,0.0,0.0
2021-04-23,261.15,134.32,1.9442376414532458,1.9408715887473662,1.8906240303105835,0.06432925565357511,0.7810996400669565,0,1.0,0.0,0.0
2021-04-26,261.55,134.72,1.9414340855106889,1.9453850448290353,1.8939334376078165,0.061651028331564106,0.8345620278141666,0,1.0,0.0,0.0
2021-04-27,261.97,134.39,1.9493265867996135,1.9472103952443256,1.8971254574615697,0.059400440286953536,0.8431745209430098,0,1.0,0.0,0.0
2021-04-28,254.56,133.58,1.9056745021709836,1.9379632732066123,1.899110594597052,0.057606148599413265,0.6744536747238151,0,1.0,0.0,0.0
2021-04-29,252.51,133.48,1.8917440815103388,1.926483379488974,1.9010683363511425,0.05523925622078053,0.460090248794309,0,1.0,0.0,0.0
