date,WMT,TGT,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2018-05-03,86.23,71.15,1.2119465917076597,1.2133862106385167,1.247982551202966,0.05747776201313564,-0.6019082746566042,0,0.9691410446281146,0.0,0.0
2018-05-04,87.53,71.05,1.2319493314567207,1.2201329746649328,1.2451134473415792,0.05372714818249984,-0.46495065384436696,0,0.9691410446281146,0.0,0.0
2018-05-07,85.47,69.33,1.232799653829511,1.2230014453757385,1.2422175544488345,0.04938527809283336,-0.3891060213728875,0,0.9691410446281146,0.0,0.0
2018-05-08,85.74,69.42,1.2350907519446843,1.2240367619388697,1.2399429570203533,0.046378074995012744,-0.342967988283129,0,0.9691410446281146,0.0,0.0
2018-05-09,83.06,69.93,1.1877591877591878,1.2199091033395526,1.2366564912477997,0.0427752319309494,-0.3915206803619881,0,0.9691410446281146,0.0,0.0
2018-05-10,82.69,70.24,1.177249430523918,1.2129696711028042,1.2334971310075695,0.03990318901660793,-0.5144315632573051,0,0.9691410446281146,0.0,0.0
2018-05-11,83.38,70.25,1.1869039145907472,1.2039605877296098,1.2307838396924649,0.037318915396914815,-0.7187575436630338,0,0.9691410446281146,0.0,0.0
2018-05-14,84.39,72.9,1.1576131687242797,1.1889232907085634,1.227451143162085,0.034636351074662446,-1.1123530989298072,-2,0.9691410446281146,0.0,0.0
2018-05-15,84.52,73.08,1.1565407772304324,1.173213295765713,1.2236576902418612,0.029224990752419595,-1.7260705025876435,-1,0.9690210446281146,0.003549455750118315,-0.004105090311986864
2018-05-16,86.13,75.23,1.1448890070450617,1.1646392596228876,1.2212115865391673,0.029577172751995902,-1.9127023191377244,-1,0.9659097242150333,0.003549455750118315,-0.004105090311986864
2018-05-17,84.49,75.83,1.1142028221020703,1.1520299379385182,1.2188752008256638,0.032321623691661534,-2.068128245190562,2,0.9575033260947101,0.0,0.0
2018-05-18,83.64,75.94,1.1013958388201213,1.134928322784393,1.2166244855088288,0.03561220818149997,-2.2940493413962435,2,0.9575033260947101,0.0,0.0
2018-05-21,84.51,76.87,1.0993885781189021,1.1232834046633176,1.21441763687601,0.03863064979344306,-2.35911724757374,2,0.9575033260947101,0.0,0.0
2018-05-22,83.37,75.47,1.104677355240493,1.1129107202653297,1.2126468715136334,0.041146674674343485,-2.4239176564732943,2,0.9575033260947101,0.0,0.0
2018-05-23,83.01,71.17,1.1663622312772235,1.117205365111762,1.211901865518666,0.041578257296628965,-2.277548568986842,2,0.9575033260947101,0.0,0.0
2018-05-24,82.85,70.94,1.1678883563574851,1.127942471962845,1.2114732002118804,0.0419013865712378,-1.9935074966319388,-1,0.9573833260947101,0.0036210018105009055,-0.00422892585283338
2018-05-25,82.46,71.21,1.1579834292936386,1.1392599900575484,1.2107450450820494,0.04245059731282361,-1.6839587555793132,-1,0.9548293254083497,0.0036210018105009055,-0.00422892585283338
2018-05-29,82.4,71.7,1.1492329149232916,1.1492288574184264,1.210211634914936,0.0430248482301979,-1.417385069442445,-2,0.9525398916318314,0.0036210018105009055,-0.00422892585283338
2018-05-30,84.12,73.47,1.1449571253572888,1.1572848114417855,1.2093359536087844,0.043815410547105985,-1.1879642691248706,-2,0.9512828159863779,0.0036210018105009055,-0.00422892585283338
2018-05-31,82.54,72.89,1.1323912745232543,1.150490620090992,1.207533095642964,0.04472476558566712,-1.2754113924356125,-2,0.9480144101204298,0.0036210018105009055,-0.00422892585283338
2018-06-01,82.99,72.8,1.1399725274725274,1.144907454314,1.206060380545984,0.045476672075248484,-1.3447097916662965,-2,0.9500244642619101,0.0036210018105009055,-0.00422892585283338
2018-06-04,85.42,76.35,1.1187950229207597,1.1370697730394244,1.2036986010594182,0.046274096734422426,-1.4398731195638852,-2,0.9438108118838688,0.0036210018105009055,-0.00422892585283338
2018-06-05,84.62,78.5,1.0779617834394906,1.1228155467426642,1.200687660054701,0.048465585185940505,-1.606750708018417,-1,0.9318218198518763,0.0036210018105009055,-0.00422892585283338
2018-06-06,84.56,77.9,1.0854942233632863,1.1109229663438636,1.1980089837576122,0.050312944853861945,-1.7308869052824698,-1,0.9341419152549462,0.0036210018105009055,-0.00422892585283338
2018-06-07,84.95,78.35,1.08423739629866,1.101292190698945,1.1954014186540047,0.052086366153325,-1.8067919669810202,-1,0.9336510893272665,0.0036210018105009055,-0.00422892585283338
2018-06-08,84.36,78.02,1.0812612150730583,1.089549928219051,1.1927406743381075,0.053772738950531127,-1.9190159945913856,-1,0.932910243790506,0.0036210018105009055,-0.00422892585283338
2018-06-11,84.3,79.06,1.066278775613458,1.0790466787575907,1.1898621217687506,0.05583802378401759,-1.9845874818169758,-1,0.9282949007949292,0.0036210018105009055,-0.00422892585283338
2018-06-12,84.1,79.07,1.0636145187808272,1.076177225825858,1.186654156958742,0.05747361271328772,-1.9222200574724306,-1,0.9275284111743006,0.0036210018105009055,-0.00422892585283338
2018-06-13,84.09,78.02,1.0778005639579595,1.0746384939447926,1.1838967149316366,0.05866883347930045,-1.862287257260578,-1,0.9319325733016707,0.0036210018105009055,-0.00422892585283338
2018-06-14,83.79,77.22,1.0850815850815851,1.0748073317013778,1.1814974318657798,0.059725521704450515,-1.786340196279138,-1,0.934229413440787,0.0036210018105009055,-0.00422892585283338
2018-06-15,83.7,77.25,1.083495145631068,1.0752541178129795,1.178602352860591,0.06020189706967639,-1.7166939926826281,-1,0.933776655502257,0.0036210018105009055,-0.00422892585283338
2018-06-18,83.0,77.12,1.0762448132780082,1.0772473253458896,1.1754578483816442,0.060543546511434045,-1.6221468462738124,-1,0.9317917145957746,0.0036210018105009055,-0.00422892585283338
2018-06-19,83.61,76.57,1.0919420138435418,1.0829128243584325,1.1726835957543855,0.06049231847454066,-1.4840028231639817,-2,0.9363264349192385,0.0036210018105009055,-0.00422892585283338
2018-06-20,83.61,75.39,1.109033028253084,1.0891593172174574,1.1704171475532914,0.06028330835622826,-1.3479324965986,-2,0.9413165674255819,0.0036210018105009055,-0.00422892585283338
2018-06-21,84.21,76.14,1.1059889676910952,1.0933407937393593,1.1679166133676533,0.059781858540956315,-1.2474657270349392,-2,0.9403174741222574,0.0036210018105009055,-0.00422892585283338
2018-06-22,84.82,76.04,1.1154655444502892,1.0997348735032038,1.1653623843913286,0.058665506468884764,-1.1186728767599163,-2,0.9429491778119462,0.0036210018105009055,-0.00422892585283338
2018-06-25,86.47,76.84,1.1253253513794899,1.1095509811235,1.1627605646079204,0.056864529531958696,-0.9357253796413779,0,0.9454130783791889,0.0,0.0
2018-06-26,85.98,76.33,1.1264247347045724,1.116447525295706,1.160864067603939,0.05613033837467389,-0.7913107883253706,0,0.9454130783791889,0.0,0.0
2018-06-27,86.89,76.87,1.130349941459607,1.1207109079370108,1.15889686673853,0.05506941845418657,-0.6934149637568249,0,0.9454130783791889,0.0,0.0
2018-06-28,85.86,75.6,1.135714285714286,1.1266559715416489,1.1575962888953693,0.054672057786458145,-0.5659256045303651,0,0.9454130783791889,0.0,0.0
2018-06-29,85.65,76.12,1.1251970572779821,1.1286022741071875,1.156146646623424,0.054352540707252726,-0.5067724922850029,0,0.9454130783791889,0.0,0.0
2018-07-02,84.0,75.77,1.1086181866173948,1.1252608411547684,1.1546369884665952,0.054394438510499445,-0.5400579198212792,0,0.9454130783791889,0.0,0.0
2018-07-03,84.44,76.63,1.1019183087563618,1.1203595559651265,1.152884778223615,0.05437072456432314,-0.5982120436892383,0,0.9454130783791889,0.0,0.0
2018-07-05,84.57,76.55,1.1047681254082298,1.115243192754851,1.1515031946380638,0.054524993039228066,-0.6650161671203806,0,0.9454130783791889,0.0,0.0
2018-07-06,84.51,76.79,1.10053392368798,1.1082071203495896,1.1501827882302453,0.05478779151494878,-0.7661500257626328,0,0.9454130783791889,0.0,0.0
2018-07-09,85.93,77.76,1.1050668724279835,1.10418108337959,1.1489425087811123,0.054955302675954526,-0.8145060298450046,0,0.9454130783791889,0.0,0.0
2018-07-10,87.21,78.3,1.1137931034482758,1.1052160667457662,1.1474600523024165,0.054678479218000335,-0.7725888898304154,0,0.9454130783791889,0.0,0.0
2018-07-11,86.53,77.58,1.1153647847383346,1.1079053619421608,1.1459476135295368,0.054282272369801494,-0.7008227534803748,0,0.9454130783791889,0.0,0.0
2018-07-12,86.52,76.5,1.1309803921568626,1.1131478152918874,1.1445764447721791,0.05358801901228226,-0.5864861224500257,0,0.9454130783791889,0.0,0.0
2018-07-13,87.7,77.72,1.1284096757591353,1.1187229657061184,1.1432605648564682,0.05298612835564242,-0.4630947742709878,0,0.9454130783791889,0.0,0.0
2018-07-16,87.64,77.21,1.1350861287398006,1.1247268169684816,1.1415413982879399,0.05150504185572688,-0.32646476371300354,0,0.9454130783791889,0.0,0.0
2018-07-17,88.19,77.27,1.1413226349165264,1.1302327232621319,1.1399481596852026,0.0499600922244077,-0.19446394092772099,0,0.9454130783791889,0.0,0.0
2018-07-18,88.07,76.85,1.1459986987638255,1.13635950606723,1.1388226270747475,0.04902625619936241,-0.05024085456375265,0,0.9454130783791889,0.0,0.0
2018-07-19,87.72,78.46,1.1180219219984706,1.1337678120355517,1.137008762090238,0.047709684527178414,-0.06793065363574431,0,0.9454130783791889,0.0,0.0
2018-07-20,88.06,77.76,1.1324588477366255,1.1345776464310497,1.135460903976655,0.04628080751999774,-0.019084747931928412,0,0.9454130783791889,0.0,0.0
2018-07-23,87.63,78.69,1.1136103698055662,1.1302824946442027,1.1336306112159484,0.0448936831575867,-0.07457879007149164,0,0.9454130783791889,0.0,0.0
2018-07-24,87.96,79.36,1.108366935483871,1.1236913547576717,1.1321331349519357,0.04419594703780531,-0.19100801679943383,0,0.9454130783791889,0.0,0.0
2018-07-25,87.9,79.99,1.098887360920115,1.1142690871889296,1.1301403026293462,0.042914728116949435,-0.3698314340280803,0,0.9454130783791889,0.0,0.0
2018-07-26,88.23,79.86,1.1048084147257702,1.1116263857343895,1.128055206722625,0.040980520813748325,-0.4008934162379872,0,0.9454130783791889,0.0,0.0
2018-07-27,88.13,80.13,1.0998377636340946,1.1051021689138836,1.1262458781039306,0.03975128288696412,-0.5319000458468431,0,0.9454130783791889,0.0,0.0
2018-07-30,88.88,81.21,1.094446496736855,1.1012693943001413,1.1242875431877504,0.0383264719736585,-0.6005809484220023,0,0.9454130783791889,0.0,0.0
2018-07-31,89.23,80.68,1.1059742191373327,1.1007908510308337,1.1221879579824272,0.03568839019438807,-0.5995537157895714,0,0.9454130783791889,0.0,0.0
2018-08-01,88.24,78.95,1.1176694110196326,1.104547261050737,1.1202691206022628,0.032602007913712705,-0.482235928324926,0,0.9454130783791889,0.0,0.0
2018-08-02,88.76,80.76,1.0990589400693414,1.1033973661194514,1.1180019237376737,0.02901432086993683,-0.5033568658625688,0,0.9454130783791889,0.0,0.0
2018-08-03,89.6,81.45,1.100061387354205,1.1034420908634734,1.116540293730924,0.027615895491004752,-0.4742994074451393,0,0.9454130783791889,0.0,0.0
2018-08-06,89.67,81.61,1.0987624065678225,1.104305272829667,1.1152321766649889,0.026528975878569203,-0.41188562594114114,0,0.9454130783791889,0.0,0.0
