date,MSFT,AAPL,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2017-12-26,85.4,42.64,2.00281425891182,1.9680611464365967,1.9610175055067003,0.03214975105488708,0.21908850609360153,0,0.8454829019917739,0.0,0.0
2017-12-27,85.71,42.65,2.0096131301289564,1.9766290520224246,1.962170355464853,0.03263595502489621,0.44302967529345233,0,0.8454829019917739,0.0,0.0
2017-12-28,85.72,42.77,2.0042085574000468,1.9850871892881645,1.9635265329578575,0.032664458475789006,0.6600647105871306,0,0.8454829019917739,0.0,0.0
2017-12-29,85.54,42.31,2.0217442684944458,1.998578900129911,1.9647793900433115,0.03343568125829057,1.0108814540220787,-2,0.8454829019917739,0.0,0.0
2018-01-02,85.95,43.07,1.9955885767355468,2.006793758334163,1.9654480370644078,0.0336468331422315,1.2288146434161893,-2,0.8454829019917739,0.0,0.0
2018-01-03,86.35,43.06,2.0053413841151877,2.007299183374837,1.9662495676443688,0.03401898032303181,1.2066680229882232,-2,0.8454829019917739,0.0,0.0
2018-01-04,87.11,43.26,2.013638465094776,2.0081042503680004,1.967174171768296,0.03454527344243248,1.1848242761173053,-2,0.8454829019917739,0.0,0.0
2018-01-05,88.19,43.75,2.0157714285714285,2.010416824602277,1.9681510702998994,0.03508181219364162,1.2047768247855188,-2,0.8454829019917739,0.0,0.0
2018-01-08,88.28,43.59,2.0252351456756137,2.0111150000385107,1.9693636846763871,0.035781353122537114,1.1668456254055493,-2,0.8454829019917739,0.0,0.0
2018-01-09,88.22,43.58,2.0243230839834787,2.016861901488097,1.9701451377855137,0.0364660844196492,1.281101726332064,-2,0.8454829019917739,0.0,0.0
2018-01-10,87.82,43.57,2.0156070690842323,2.018915038481906,1.970834130338191,0.03693284194015128,1.3018469637843921,-2,0.8454829019917739,0.0,0.0
2018-01-11,88.08,43.82,2.010041077133729,2.0181955608896964,1.9719563644525417,0.0370863720155534,1.24679751413168,-2,0.8454829019917739,0.0,0.0
2018-01-12,89.6,44.27,2.0239439801219783,2.0198300711998067,1.9734562948623513,0.03734212896234438,1.241862144073749,-2,0.8454829019917739,0.0,0.0
2018-01-16,88.35,44.05,2.0056753688989786,2.015918115844479,1.9744981385586562,0.037354691512335066,1.1088293226071837,-2,0.8454829019917739,0.0,0.0
2018-01-17,90.14,44.78,2.0129522108083964,2.013643941209463,1.9747524702772579,0.03756663476677683,1.0352662987689236,-2,0.8454829019917739,0.0,0.0
2018-01-18,90.1,44.82,2.010263275323516,2.01257518245732,1.974629106023177,0.03743524998654388,1.0136456000102194,-2,0.8454829019917739,0.0,0.0
2018-01-19,90.0,44.62,2.0170327207530256,2.0139735111811787,1.9745928002761646,0.037392312019147056,1.0531766766614732,-2,0.8454829019917739,0.0,0.0
2018-01-22,91.61,44.25,2.070282485875706,2.0232412123319246,1.9756368837983973,0.03916329864806069,1.2155341908586792,-2,0.8454829019917739,0.0,0.0
2018-01-23,91.9,44.26,2.076366922729327,2.0373795230979943,1.9767263751362987,0.041028519607710146,1.4783167548238225,-2,0.8454829019917739,0.0,0.0
2018-01-24,91.82,43.56,2.1078971533516984,2.0563685116066543,1.9784992480648838,0.04428705542917603,1.7582849613088258,1,0.8453629019917739,-0.0032672620344151603,0.0068870523415977955
2018-01-25,92.33,42.78,2.158251519401589,2.0859661604222692,1.9802003978566767,0.049028149172229384,2.1572456711358097,2,0.8382054386472136,0.0,0.0
2018-01-26,94.06,42.88,2.1935634328358207,2.121272302838828,1.983214522888905,0.05610873721014311,2.4605397806915077,2,0.8382054386472136,0.0,0.0
2018-01-29,93.92,41.99,2.2367230292926887,2.1545604115222248,1.9876883812332453,0.06491013026368674,2.570816444383785,2,0.8382054386472136,0.0,0.0
2018-01-30,92.74,41.74,2.2218495448011497,2.183656935936589,1.9914897406967738,0.07160551591440724,2.6836926287846326,2,0.8382054386472136,0.0,0.0
2018-01-31,95.01,41.86,2.269708552317248,2.216019215729699,1.9959888486569186,0.08010971310964014,2.7466128454565997,2,0.8382054386472136,0.0,0.0
2018-02-01,94.26,41.95,2.246960667461263,2.233761045341634,2.0009240884697346,0.08617325951061808,2.7019629777751377,2,0.8382054386472136,0.0,0.0
2018-02-02,91.78,40.13,2.287067032145527,2.2524617652035754,2.006722466155784,0.09335282617260311,2.632371285615241,2,0.8382054386472136,0.0,0.0
2018-02-05,88.0,39.12,2.2494887525562373,2.255014909856285,2.012074357264368,0.09787997527106498,2.4820250712071283,2,0.8382054386472136,0.0,0.0
