date,CAT,DE,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2014-12-04,99.67,89.57,1.112760969074467,1.123405650768529,1.1779690431936385,0.043417517343059944,-1.256713781996821,-2,1.0155502030948917,0.0,0.0
2014-12-05,98.78,89.73,1.1008581299453917,1.111298357339459,1.174876214105334,0.042151584225011175,-1.5083147628921187,-1,1.0154302030948918,0.003037052034824863,-0.0033433634236041455
2014-12-08,95.25,88.84,1.0721521837010355,1.1046973138385408,1.171386865204439,0.041838849630428034,-1.5939623568760153,-1,1.007685002858968,0.003037052034824863,-0.0033433634236041455
2014-12-09,95.45,89.2,1.070067264573991,1.0933455759482207,1.1680835998913799,0.0418845907741504,-1.7843799488494634,-1,1.0070888024334352,0.003037052034824863,-0.0033433634236041455
2014-12-10,93.02,87.52,1.0628427787934187,1.0837362652176608,1.1647236480535528,0.042109332492737024,-1.9232644651838318,-1,1.0053256165404658,0.003037052034824863,-0.0033433634236041455
2014-12-11,92.69,87.99,1.0534151608137288,1.0718671035655132,1.1615414664471555,0.043190714555134915,-2.076241706239171,2,1.0026368711797293,0.0,0.0
2014-12-12,90.5,86.41,1.0473324846661267,1.06116197450966,1.1583315295457206,0.04440601257952125,-2.1882071681633546,2,1.0026368711797293,0.0,0.0
2014-12-15,89.75,87.47,1.0260660797987882,1.0519447537292106,1.1550058016074076,0.0466951717260804,-2.2071028774187997,2,1.0026368711797293,0.0,0.0
2014-12-16,89.34,87.8,1.0175398633257404,1.0414392734795606,1.1518827994887266,0.049483120576162144,-2.2319434328960006,2,1.0026368711797293,0.0,0.0
2014-12-17,89.75,88.74,1.0113815641199009,1.031147030544857,1.1487379586986939,0.05228526215257712,-2.2490262707431214,2,1.0026368711797293,0.0,0.0
2014-12-18,91.69,89.54,1.0240116149207057,1.0252663213662525,1.1456703237024555,0.0541127119621268,-2.225059472540816,2,1.0026368711797293,0.0,0.0
2014-12-19,91.71,90.1,1.0178690344062153,1.01937363131427,1.1426841279508595,0.05613575465199483,-2.1966480614901203,2,1.0026368711797293,0.0,0.0
2014-12-22,92.32,90.24,1.0230496453900708,1.0187703444325267,1.1395369594788205,0.05746808232787442,-2.1014554541298307,2,1.0026368711797293,0.0,0.0
2014-12-23,93.5,90.85,1.0291689598238856,1.0210961637321556,1.1364829096350624,0.058391279026131344,-1.97609553733647,-1,1.0025168711797294,0.0032085561497326204,-0.003302146395156852
2014-12-24,93.72,90.26,1.038333702636827,1.0264865914355408,1.1336579676257104,0.058978156880540485,-1.817136747885219,-1,1.005171019905813,0.0032085561497326204,-0.003302146395156852
2014-12-26,94.23,90.24,1.044215425531915,1.0305273535577828,1.1311126514499752,0.059494238465559915,-1.690672920377312,-1,1.0068734264700798,0.0032085561497326204,-0.003302146395156852
2014-12-29,93.71,90.14,1.0396050587974262,1.034874558436025,1.1285703533539317,0.060098146603396144,-1.559046330267562,-1,1.0055351919117346,0.0032085561497326204,-0.003302146395156852
2014-12-30,92.59,89.46,1.0349877040017885,1.0372621701583684,1.1260639815916769,0.06082066492239279,-1.4600598587111737,-2,1.0041870685727408,0.0032085561497326204,-0.003302146395156852
2014-12-31,91.53,88.47,1.034587995930824,1.038345977379756,1.1235903918570294,0.061480145024863764,-1.3865356765635275,-2,1.0040551239852296,0.0032085561497326204,-0.003302146395156852
2015-01-02,91.88,88.34,1.0400724473624632,1.0386937263248834,1.1211982318173408,0.06189646739671589,-1.3329436874588887,-2,1.0056073976690065,0.0032085561497326204,-0.003302146395156852
2015-01-05,87.03,86.45,1.006709080393291,1.0311924572971587,1.1181657051348455,0.06298291381275664,-1.3809022570192857,-2,0.9962869570296499,0.0032085561497326204,-0.003302146395156852
2015-01-06,86.47,85.73,1.0086317508456781,1.024997795706809,1.1157731125246848,0.06437979816079256,-1.409996915354701,-2,0.9968677109903126,0.0032085561497326204,-0.003302146395156852
2015-01-07,87.81,85.36,1.0287019681349578,1.0237406485334428,1.1137508612238631,0.06518588066917357,-1.3808237576360027,-2,1.0023889703971622,0.0032085561497326204,-0.003302146395156852
2015-01-08,88.71,86.49,1.025667707249393,1.0219565907971566,1.112131299741298,0.06615612872469383,-1.3630590344758524,-2,1.0015452455053944,0.0032085561497326204,-0.003302146395156852
2015-01-09,87.65,85.65,1.0233508464681844,1.0186122706183007,1.110853023585153,0.06712741211014879,-1.3741145393106358,-2,1.0009179789586096,0.0032085561497326204,-0.003302146395156852
2015-01-12,86.89,85.45,1.0168519602106494,1.0206408465817725,1.1096306908759985,0.06816964766865612,-1.3054174011103614,-2,0.9991399055638441,0.0032085561497326204,-0.003302146395156852
2015-01-13,86.37,85.89,1.005588543485854,1.0200322051098079,1.1079168908042816,0.06948064217449361,-1.2648801586168448,-2,0.9960185119521142,0.0032085561497326204,-0.003302146395156852
2015-01-14,86.07,86.48,0.9952590194264569,1.0133436153681077,1.1054846507850773,0.07083707011434753,-1.3007459973744329,-2,0.9931076787340518,0.0032085561497326204,-0.003302146395156852
2015-01-15,84.32,87.2,0.9669724770642201,1.001604569331073,1.102535570820495,0.07286419582404138,-1.385193377185672,-2,0.9851151600675068,0.0032085561497326204,-0.003302146395156852
2015-01-16,83.86,87.3,0.9605956471935854,0.9890535294761531,1.0994697443149404,0.07490790314312341,-1.4740262402996331,-2,0.9833090095991142,0.0032085561497326204,-0.003302146395156852
2015-01-20,83.97,87.13,0.963732353953862,0.9784296082247955,1.0966376003380425,0.07678219013119908,-1.5395235784660855,-1,0.9842233156627613,0.0032085561497326204,-0.003302146395156852
2015-01-21,85.37,87.63,0.9742097455209404,0.972153848631813,1.0934485752560532,0.07783773584483414,-1.5583023492106138,-1,0.9870642210748086,0.0032085561497326204,-0.003302146395156852
2015-01-22,86.82,89.51,0.9699474919003462,0.9670915431265907,1.0902144682353048,0.07888120011510881,-1.5608652623064139,-1,0.985508592269026,0.0032085561497326204,-0.003302146395156852
2015-01-23,85.61,88.35,0.9689869835880023,0.9674944444313474,1.0869467373044055,0.07978438282431118,-1.4971889064567623,-2,0.9854567291462315,0.0032085561497326204,-0.003302146395156852
2015-01-26,86.03,88.43,0.9728598891778808,0.9699472928282062,1.0834394639246374,0.08010182408209339,-1.416848772134293,-2,0.9865401510175066,0.0032085561497326204,-0.003302146395156852
2015-01-27,79.85,86.04,0.9280567178056717,0.9628121655985684,1.0792965845981848,0.0816141649480511,-1.4272573771202686,-2,0.9746034038965838,0.0032085561497326204,-0.003302146395156852
2015-01-28,80.01,84.58,0.9459683140222276,0.9571638792988258,1.075476505479743,0.08241071100416326,-1.4356462253424829,-2,0.9799379066174702,0.0032085561497326204,-0.003302146395156852
2015-01-29,80.0,85.91,0.9312070771737866,0.9494157963535137,1.071237836120661,0.08319107238869074,-1.4643643394565509,-2,0.9755139663504142,0.0032085561497326204,-0.003302146395156852
2015-01-30,79.97,85.19,0.938725202488555,0.9433634401336242,1.0672322757699797,0.08369598727887835,-1.479985357286242,-2,0.9777952550704352,0.0032085561497326204,-0.003302146395156852
2015-02-02,80.84,86.64,0.9330563250230841,0.9354027273026648,1.0633450122731736,0.08443027008997687,-1.515360365828054,-1,0.9757985866477251,0.0032085561497326204,-0.003302146395156852
2015-02-03,83.92,88.63,0.946857723118583,0.9391629283652472,1.0596269354486838,0.08456835707268748,-1.4244572231655916,-2,0.9791096682625394,0.0032085561497326204,-0.003302146395156852
2015-02-04,81.95,88.68,0.9241091565178168,0.9347910968643651,1.0558669302585217,0.08550533351064081,-1.4160032880181586,-2,0.9726237053278083,0.0032085561497326204,-0.003302146395156852
2015-02-05,83.57,89.12,0.9377244165170555,0.9360945647330189,1.0523664126948706,0.08597767682585944,-1.3523492638368284,-2,0.9763686218765061,0.0032085561497326204,-0.003302146395156852
2015-02-06,83.21,88.98,0.9351539671836366,0.9353803176720351,1.0487124205735017,0.08622650761296542,-1.3143533936242295,-2,0.9756758421579242,0.0032085561497326204,-0.003302146395156852
2015-02-09,84.67,88.95,0.9518830803822372,0.9391456687438658,1.0452573722335372,0.08587741542926891,-1.2356182700569045,-2,0.9804593985283886,0.0032085561497326204,-0.003302146395156852
2015-02-10,83.9,88.75,0.9453521126760565,0.9388445466553605,1.041567222878512,0.08532309258639285,-1.203925843629506,-2,0.9786492395721259,0.0032085561497326204,-0.003302146395156852
2015-02-11,83.41,88.82,0.9390902949786084,0.9418407743475189,1.0379508720131316,0.08498528529667874,-1.1309028066458553,-2,0.9768458968110959,0.0032085561497326204,-0.003302146395156852
2015-02-12,83.53,89.37,0.9346536869195479,0.9412266284280173,1.0342299873923209,0.08453036940413515,-1.1002360408442025,-2,0.9754147430317275,0.0032085561497326204,-0.003302146395156852
2015-02-13,85.13,90.04,0.9454686805864059,0.9432895711085711,1.0304623984359231,0.0833366516418128,-1.0460322752349993,-2,0.9783359947865445,0.0032085561497326204,-0.003302146395156852
2015-02-17,85.38,89.92,0.9495106761565836,0.9428150902634403,1.0268046268167432,0.08195895926252236,-1.0247755377697805,-2,0.9795343913913965,0.0032085561497326204,-0.003302146395156852
2015-02-18,84.8,92.75,0.9142857142857143,0.936601810585372,1.0224859824123813,0.08092358461824792,-1.061299647465726,-2,0.9683283545262578,0.0032085561497326204,-0.003302146395156852
