date,JNJ,ABT,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2019-05-01,141.95,78.74,1.802768605537211,1.7878141633831501,1.7753243245931012,0.03912712733386473,0.31921175003407226,0,1.002183087633032,0.0,0.0
2019-05-02,141.28,78.78,1.7933485656257933,1.7889112225587502,1.774921213671864,0.03880816730035105,0.36049135684796263,0,1.002183087633032,0.0,0.0
2019-05-03,142.01,78.69,1.8046765789808108,1.7924381880494136,1.7748363227092159,0.03873614919444283,0.45440410846834767,0,1.002183087633032,0.0,0.0
2019-05-06,142.09,79.07,1.7970153028961682,1.7945140479131751,1.7745304142527654,0.038482264186583244,0.5192946434627158,0,1.002183087633032,0.0,0.0
2019-05-07,139.97,76.91,1.8199193862956704,1.8035456878671308,1.7747701271026817,0.03872272606125726,0.7431181554451437,0,1.002183087633032,0.0,0.0
2019-05-08,139.79,76.22,1.834033062188402,1.8097985791973692,1.77542165266549,0.0393909699308789,0.8727108419062012,0,1.002183087633032,0.0,0.0
2019-05-09,138.73,76.42,1.8153624705574456,1.8142013601836993,1.7758881921094996,0.03969944415719651,0.9650807180698144,0,1.002183087633032,0.0,0.0
2019-05-10,139.05,76.45,1.8188358404185743,1.8170332124712523,1.7760752965753808,0.03987753714488056,1.0270924141344482,-2,1.002183087633032,0.0,0.0
2019-05-13,137.2,75.5,1.8172185430463574,1.82107386050129,1.7761000038055954,0.03990297771446325,1.1270802148530707,-2,1.002183087633032,0.0,0.0
2019-05-14,136.82,76.03,1.7995528081020649,1.8170005448625688,1.7758865705408513,0.039739663491717286,1.0345828502117698,-2,1.002183087633032,0.0,0.0
2019-05-15,136.91,76.51,1.7894392889818322,1.8080817902212547,1.7755572253572152,0.039540280665540384,0.8225678805660304,0,1.002183087633032,0.0,0.0
2019-05-16,138.21,76.6,1.8043080939947782,1.8058709149087213,1.7755456274003634,0.039531598053528065,0.7671151433669784,0,1.002183087633032,0.0,0.0
2019-05-17,138.61,75.97,1.8245360010530474,1.8070109470356162,1.7759172969769597,0.039889994736320725,0.779484937618832,0,1.002183087633032,0.0,0.0
2019-05-20,138.42,75.77,1.826844397518807,1.8089361179301058,1.7764597165187757,0.040362659005484906,0.8046150132704807,0,1.002183087633032,0.0,0.0
2019-05-21,138.12,76.03,1.8166513218466396,1.8123558206790207,1.7772030204907447,0.0406894620419272,0.8639288509652405,0,1.002183087633032,0.0,0.0
2019-05-22,138.76,76.26,1.8195646472593756,1.8183808923345297,1.7779720946877389,0.04105123217133652,0.9843504204243045,0,1.002183087633032,0.0,0.0
2019-05-23,139.79,75.63,1.8483406055797964,1.8271873946515331,1.7794562642610754,0.04196398240111445,1.1374309028685066,-2,1.002183087633032,0.0,0.0
2019-05-24,138.85,76.98,1.8037152507144711,1.823023244583818,1.7801786677997804,0.042002928445852294,1.020037849010224,-2,1.002183087633032,0.0,0.0
2019-05-28,137.07,75.71,1.810460969488839,1.8197465589778243,1.7810129825116028,0.042100495922850784,0.9200266081710982,0,1.002183087633032,0.0,0.0
2019-05-29,131.33,75.67,1.7355623100303952,1.8035287566145755,1.7805826231489703,0.04243519540816041,0.5407335407531206,0,1.002183087633032,0.0,0.0
2019-05-30,132.11,76.52,1.7264767381076844,1.7849111747842372,1.7797889238510036,0.04300012036256385,0.11912178128908349,0,1.002183087633032,0.0,0.0
2019-05-31,131.15,76.13,1.7227111519768818,1.759785284063654,1.7786659415491168,0.043602150347709666,-0.4330212463123281,0,1.002183087633032,0.0,0.0
2019-06-03,131.44,75.71,1.7360982697133802,1.7462618878634362,1.7776009127110064,0.043851929364756105,-0.7146555533941336,0,1.002183087633032,0.0,0.0
2019-06-04,133.73,77.46,1.7264394526207074,1.72945758448981,1.7763474991772132,0.0442262404524028,-1.060228366864401,-2,1.002183087633032,0.0,0.0
2019-06-05,134.38,78.69,1.7077138136993264,1.723887885223596,1.775130263141559,0.04509950939304588,-1.1362069922176243,-2,1.002183087633032,0.0,0.0
2019-06-06,136.68,80.09,1.7065800973904357,1.7199085570801464,1.7739251734218562,0.045955370427152906,-1.1754146651333226,-2,1.002183087633032,0.0,0.0
2019-06-07,138.55,80.74,1.7160019816695569,1.7185667230186812,1.7729716577343426,0.046559949601494885,-1.1684921307112985,-2,1.002183087633032,0.0,0.0
2019-06-10,139.02,81.27,1.7105943152454783,1.7134659321251007,1.7723560459799084,0.04714256662120842,-1.2491919315295468,-2,1.002183087633032,0.0,0.0
2019-06-11,139.78,81.12,1.7231262327416172,1.7128032881492827,1.7723578952466974,0.047140600455501655,-1.2633400194728366,-2,1.002183087633032,0.0,0.0
2019-06-12,141.68,81.95,1.7288590604026846,1.7170323374899545,1.7721709866525799,0.04729276143136406,-1.1659003935020376,-2,1.002183087633032,0.0,0.0
2019-06-13,140.71,82.29,1.709928302345364,1.7177019784809402,1.7718136969776457,0.047685610827651735,-1.134759889986088,-2,1.002183087633032,0.0,0.0
2019-06-14,140.09,82.22,1.7038433471174896,1.715270251570527,1.77158753509969,0.047979268387128834,-1.1737837074704323,-2,1.002183087633032,0.0,0.0
2019-06-17,139.44,82.05,1.6994515539305302,1.7130416993075372,1.7711624562854003,0.04850945846440068,-1.1981324636001802,-2,1.002183087633032,0.0,0.0
2019-06-18,140.23,83.42,1.6810117477823063,1.7046188023156748,1.7699137892712893,0.04985377130872396,-1.3097301416029181,-2,1.002183087633032,0.0,0.0
2019-06-19,140.45,84.33,1.6654808490454167,1.6919431600442212,1.7685674530023436,0.05156475947820635,-1.4859817777392603,-2,1.002183087633032,0.0,0.0
2019-06-20,142.21,84.94,1.674240640452084,1.6848056276655654,1.767237286461355,0.052956200274202433,-1.5566007071686774,-1,1.002063087633032,0.0021095562899936713,-0.0035319048740287263
2019-06-21,142.09,85.0,1.6716470588235295,1.6783663700067735,1.765736116416302,0.054373005508829425,-1.606858874029702,-1,1.0015980265857911,0.0021095562899936713,-0.0035319048740287263
2019-06-24,143.06,84.71,1.6888206823279426,1.6762401956862558,1.7647458333943422,0.05523140050141946,-1.6024514479912886,-1,1.0046685486005533,0.0021095562899936713,-0.0035319048740287263
2019-06-25,144.24,84.24,1.7122507122507125,1.6824879885799369,1.7641385700170846,0.05560997020470461,-1.4682723464261112,-2,1.0088178203135394,0.0021095562899936713,-0.0035319048740287263
2019-06-26,141.85,82.96,1.7098601735776278,1.6913638534863793,1.7635584924849048,0.05599672910879913,-1.2892652865179781,-2,1.0082968190192112,0.0021095562899936713,-0.0035319048740287263
2019-06-27,140.69,83.69,1.681084956386665,1.6927327166732955,1.7627500658390676,0.05683923757413639,-1.23184884516523,-2,1.0032714431647776,0.0021095562899936713,-0.0035319048740287263
2019-06-28,139.28,84.1,1.6561236623067779,1.689628037369945,1.761595313460323,0.05829586282682179,-1.234517727341468,-2,0.9988488877975347,0.0021095562899936713,-0.0035319048740287263
2019-07-01,139.36,84.49,1.6494259675701268,1.681749094418382,1.7603462397662597,0.05988813099457627,-1.3123993693340648,-2,0.997640209399863,0.0021095562899936713,-0.0035319048740287263
2019-07-02,140.03,84.95,1.648381400824014,1.6689752321330424,1.7590893053074192,0.06143954245131766,-1.466711332457916,-2,0.9974289358721055,0.0021095562899936713,-0.0035319048740287263
