date,PEP,KO,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-10-06,154.96,53.71,2.8851238130701917,2.855941670043736,2.7851806320540975,0.043618513174001554,1.622270747912956,1,1.0005380661803902,-0.001987413050679033,0.005658242172764994
2021-10-07,156.39,53.88,2.902561247216035,2.8631358329613095,2.7877751621430815,0.04587381461762847,1.6427818668750565,1,0.9986579666872892,-0.001987413050679033,0.005658242172764994
2021-10-08,156.03,54.12,2.883037694013304,2.8703356011113863,2.789980645089606,0.047222729467693736,1.7016160846177493,1,1.0007314135069973,-0.001987413050679033,0.005658242172764994
2021-10-11,156.24,54.23,2.8810621427254293,2.879648614672513,2.7919522481775827,0.04851893766010754,1.807466748535891,1,1.0009364634053588,-0.001987413050679033,0.005658242172764994
2021-10-12,156.93,54.23,2.8937857274571273,2.8891141248964174,2.7935883145066653,0.050268287149142866,1.9003195813362994,1,0.9995651484003902,-0.001987413050679033,0.005658242172764994
2021-10-13,157.99,54.24,2.9127949852507373,2.894648359332527,2.795618687671197,0.05256846775650039,1.8838226771234803,1,0.9975150729883981,-0.001987413050679033,0.005658242172764994
2021-10-14,159.26,54.61,2.9163156930965024,2.89739924850862,2.7984709282973705,0.05439636395743193,1.8186568552388196,1,0.9970846080179588,-0.001987413050679033,0.005658242172764994
2021-10-15,158.81,54.48,2.9150146842878124,2.9037946465635214,2.801251425086738,0.056021907132903045,1.830412899609361,1,0.9972433724083049,-0.001987413050679033,0.005658242172764994
2021-10-18,158.09,53.94,2.930849091583241,2.913752036335084,2.8041479071984026,0.0581506083468234,1.8848320293225056,1,0.9956188590315007,-0.001987413050679033,0.005658242172764994
2021-10-19,160.1,54.15,2.9566020313942754,2.9263152971225135,2.8075460004077017,0.060982401408894674,1.9475995364375478,1,0.9928123896559164,-0.001987413050679033,0.005658242172764994
2021-10-20,161.31,54.63,2.9527732015376165,2.9343109403798895,2.810787295529382,0.06343918902704351,1.9471189141123915,1,0.993123576107522,-0.001987413050679033,0.005658242172764994
2021-10-21,159.18,54.35,2.928794848206072,2.936806771401803,2.8136335590962984,0.06484695563684609,1.8994447942212664,1,0.9957724580970941,-0.001987413050679033,0.005658242172764994
2021-10-22,159.97,54.45,2.937924701561065,2.941388774856454,2.816788278413874,0.06622121661945611,1.8815796930854296,1,0.9947682260043342,-0.001987413050679033,0.005658242172764994
2021-10-25,159.22,54.23,2.936013276784068,2.9424216118966195,2.8198541610414365,0.06742109457770439,1.8179392017126215,1,0.9950139725143352,-0.001987413050679033,0.005658242172764994
2021-10-26,161.17,54.47,2.958876445749954,2.942876494767755,2.823364736590621,0.0690921846441674,1.7297435128536287,1,0.9924964951869748,-0.001987413050679033,0.005658242172764994
2021-10-27,160.61,55.52,2.8928314121037464,2.930888136880981,2.825704266918844,0.06902710646164231,1.5238052897463823,1,0.9995506007767583,-0.001987413050679033,0.005658242172764994
2021-10-28,161.62,56.04,2.88401142041399,2.9219314513225645,2.828004635512196,0.06862419045081751,1.3687129158585125,-2,1.0004855995254103,-0.001987413050679033,0.005658242172764994
2021-10-29,161.6,56.37,2.866773106262196,2.9077011322627913,2.830265013241935,0.06760593602383491,1.1454041401565054,-2,1.0023925677034362,-0.001987413050679033,0.005658242172764994
2021-11-01,161.26,56.17,2.870927541392202,2.8946839851844173,2.832701258517493,0.06636157944880663,0.934015241676696,0,1.0018089769678349,0.0,0.0
2021-11-02,162.74,56.1,2.900891265597148,2.8830869491538564,2.8356390314495545,0.06539051392413164,0.7256085761820534,0,1.0018089769678349,0.0,0.0
2021-11-03,164.3,56.29,2.9188132883283,2.8882833243987673,2.8389719524522095,0.06442552134841056,0.7654012092488008,0,1.0018089769678349,0.0,0.0
2021-11-04,164.31,56.6,2.9030035335689046,2.89208174702975,2.841806252487277,0.06341478551480575,0.7928039830827024,0,1.0018089769678349,0.0,0.0
2021-11-05,166.0,56.84,2.920478536242083,2.902822833025728,2.845011155137992,0.06242660502998477,0.9260743533941603,0,1.0018089769678349,0.0,0.0
2021-11-08,162.43,56.33,2.8835434049352036,2.905346005734328,2.847488058004916,0.06091483102995427,0.9498170929992571,0,1.0018089769678349,0.0,0.0
2021-11-09,163.51,56.49,2.894494600814303,2.9040666727777587,2.849902100470355,0.05983231608437517,0.9052728667735549,0,1.0018089769678349,0.0,0.0
2021-11-10,164.04,56.72,2.892101551480959,2.8987243254082906,2.852159891691499,0.058800217521069904,0.7919092085009034,0,1.0018089769678349,0.0,0.0
2021-11-11,162.69,56.74,2.8672893902009164,2.891581496734693,2.853847753209598,0.057729345274569015,0.6536319326960662,0,1.0018089769678349,0.0,0.0
2021-11-12,162.65,56.61,2.873167284931991,2.8821192464726746,2.8551545570029004,0.05725460046654123,0.470961097449836,0,1.0018089769678349,0.0,0.0
2021-11-15,163.8,56.62,2.892970681737902,2.8840047018332142,2.8567752783463667,0.05691923141310345,0.4783870549695971,0,1.0018089769678349,0.0,0.0
2021-11-16,163.31,56.22,2.9048381358946993,2.8860734088492936,2.8585763250006,0.05669776465608762,0.4849765068426079,0,1.0018089769678349,0.0,0.0
2021-11-17,163.37,55.91,2.922017528170274,2.8920566041871565,2.8608890672944813,0.056402579793252014,0.5525906262962111,0,1.0018089769678349,0.0,0.0
2021-11-18,163.42,55.41,2.949287132286591,2.9084561526042916,2.863911042654837,0.05619666977921314,0.7926645853653719,0,1.0018089769678349,0.0,0.0
2021-11-19,163.81,55.13,2.971340467984763,2.928090789214846,2.8670313912300003,0.05688467088641777,1.0733893161966899,-2,1.0018089769678349,0.0,0.0
2021-11-22,164.15,55.47,2.9592572561745087,2.9413481041021674,2.8699492307945738,0.05705300113482894,1.2514481602617575,-2,1.0018089769678349,0.0,0.0
2021-11-23,165.25,55.88,2.9572297780959196,2.9518264325424113,2.8729565788820985,0.056814304744137095,1.3882041506184521,-2,1.0018089769678349,0.0,0.0
2021-11-24,163.74,55.43,2.9539960310301283,2.958222133114382,2.8759014425852025,0.05634965473955519,1.4608907704876057,-2,1.0018089769678349,0.0,0.0
2021-11-26,161.14,53.73,2.999069421179974,2.9681785908930585,2.879460931468219,0.05728008500853519,1.548839520954271,1,1.001688976967835,-0.001861735137147822,0.005583472920156337
2021-11-29,164.14,54.58,3.0073286918285085,2.9753762356618076,2.88350533574134,0.057603256802427276,1.594890723550137,1,1.0008497235385243,-0.001861735137147822,0.005583472920156337
2021-11-30,159.78,52.45,3.046329837940896,2.992790752015085,2.8881261394625892,0.05936213159898177,1.7631545521234486,1,0.9970740914165559,-0.001861735137147822,0.005583472920156337
2021-12-01,160.16,52.3,3.0623326959847037,3.013811335592842,2.892901320944377,0.06165450719393448,1.9610896291513946,1,0.9955291111264163,-0.001861735137147822,0.005583472920156337
2021-12-02,160.62,53.07,3.026568682871679,3.0283258659611523,2.8970484924815447,0.06214361966042197,2.11248353727962,2,0.9988529177507284,0.0,0.0
2021-12-03,164.71,53.54,3.0763914830033623,3.0437902783258304,2.9018573086411608,0.06466376999671768,2.194938057151232,2,0.9988529177507284,0.0,0.0
