date,C,WFC,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2022-07-01,46.87,39.92,1.1740981963927855,1.1795782430891557,1.1470220470344898,0.053216908700228584,0.6117641338029473,0,1.0211770619456932,0.0,0.0
2022-07-05,46.61,40.1,1.1623441396508727,1.1743234129676405,1.1488090105090774,0.05186172497838055,0.49196979987070033,0,1.0211770619456932,0.0,0.0
2022-07-06,46.15,39.5,1.1683544303797468,1.1730017654447846,1.1508154483342168,0.0501962709574107,0.4419913409382929,0,1.0211770619456932,0.0,0.0
2022-07-07,46.93,40.12,1.169740777666999,1.169730077110141,1.1529091168805308,0.04825280458356468,0.3486006746090711,0,1.0211770619456932,0.0,0.0
2022-07-08,46.82,40.18,1.1652563464410155,1.167958778106284,1.1552511993083756,0.04524237214952704,0.2808778186057412,0,1.0211770619456932,0.0,0.0
2022-07-11,46.19,39.79,1.1608444332746921,1.1653080254826653,1.1572710559306947,0.04262350383473142,0.18855722380621792,0,1.0211770619456932,0.0,0.0
2022-07-12,46.13,39.6,1.1648989898989899,1.1658189955322886,1.1594665637488846,0.03939296860334625,0.16125801148341093,0,1.0211770619456932,0.0,0.0
2022-07-13,45.5,39.07,1.1645764013309445,1.1650633897225282,1.1605626141630123,0.0385833401897518,0.11665074971169424,0,1.0211770619456932,0.0,0.0
2022-07-14,44.14,38.74,1.13939081053175,1.1589933962954784,1.1610696682697124,0.03809055760050516,-0.05450883644209121,0,1.0211770619456932,0.0,0.0
2022-07-15,49.98,41.13,1.2151714077315827,1.168976408553592,1.1628822156360104,0.0380333661831354,0.1602328042234661,0,1.0211770619456932,0.0,0.0
2022-07-18,50.07,41.19,1.2155863073561546,1.1799247833698843,1.1649508260686507,0.03745435684199416,0.3997921353823538,0,1.0211770619456932,0.0,0.0
2022-07-19,52.13,42.9,1.2151515151515153,1.1899752884203896,1.1668449028769174,0.037063076924815835,0.6240816322506949,0,1.0211770619456932,0.0,0.0
2022-07-20,52.45,42.72,1.2277621722846443,1.2026124426111295,1.1688821993319853,0.036994800776073845,0.9117563163351058,0,1.0211770619456932,0.0,0.0
2022-07-21,52.59,43.28,1.2151109057301295,1.2177564616508054,1.1705399681913975,0.03679680342247531,1.283168348002977,-2,1.0211770619456932,0.0,0.0
2022-07-22,51.91,43.17,1.2024554088487374,1.215213261874236,1.1718019175433028,0.0365668069759639,1.187178972434436,-2,1.0211770619456932,0.0,0.0
2022-07-25,52.16,43.5,1.1990804597701148,1.2119120923570281,1.1732431493724311,0.03589205788915715,1.0773676757129809,-2,1.0211770619456932,0.0,0.0
2022-07-26,51.4,42.9,1.1981351981351982,1.2085088289537649,1.1747558668470703,0.03496959356941423,0.9652088760967527,0,1.0211770619456932,0.0,0.0
2022-07-27,52.35,43.71,1.1976664378860673,1.2024896820740494,1.1763007467786801,0.03386453875225094,0.7733439243618371,0,1.0211770619456932,0.0,0.0
2022-07-28,52.23,43.32,1.2056786703601108,1.2006032350000457,1.1778052073292586,0.033110322445183,0.6885474373899921,0,1.0211770619456932,0.0,0.0
2022-07-29,51.9,43.87,1.1830408023706405,1.1967203137044264,1.1786140395426827,0.032623967713536206,0.5549991442098909,0,1.0211770619456932,0.0,0.0
2022-08-01,51.92,43.54,1.1924666972898486,1.1953975612083731,1.1795563400869,0.03218370257373495,0.4922125130003256,0,1.0211770619456932,0.0,0.0
2022-08-02,50.75,42.88,1.183535447761194,1.1924776111335722,1.180176330644612,0.03188986128792401,0.3857426778340488,0,1.0211770619456932,0.0,0.0
2022-08-03,51.61,43.89,1.175894281157439,1.1881231797878464,1.1804629337967123,0.03177060912778973,0.24111108352762797,0,1.0211770619456932,0.0,0.0
2022-08-04,51.26,42.77,1.198503624035539,1.1866881705229322,1.1815230715403438,0.03128181195824541,0.16511508315064186,0,1.0211770619456932,0.0,0.0
2022-08-05,51.66,43.76,1.1805301645338209,1.1861860429555684,1.182338314301144,0.03058882774779913,0.12578869272625628,0,1.0211770619456932,0.0,0.0
2022-08-08,51.47,43.19,1.1917110442232,1.1860349123422387,1.183540702192688,0.029477330940631805,0.08461451800280213,0,1.0211770619456932,0.0,0.0
2022-08-09,52.09,43.4,1.200230414746544,1.1893739057393085,1.1849843893650365,0.028082488870837634,0.15630795384487073,0,1.0211770619456932,0.0,0.0
2022-08-10,53.19,44.33,1.1998646514775546,1.1941679798033316,1.1863611204231208,0.026696713884923614,0.29242772776688086,0,1.0211770619456932,0.0,0.0
2022-08-11,54.0,45.25,1.1933701657458564,1.193141288145395,1.1875109880280061,0.02543788004831995,0.22133527269937806,0,1.0211770619456932,0.0,0.0
2022-08-12,54.38,45.94,1.1837178929037877,1.1937788338193884,1.1877742035770127,0.025313183029351476,0.23721355925144513,0,1.0211770619456932,0.0,0.0
2022-08-15,54.07,45.75,1.1818579234972677,1.191808209674202,1.1879515316694966,0.025232375129712967,0.15284641199566779,0,1.0211770619456932,0.0,0.0
2022-08-16,54.18,46.06,1.1762917933130699,1.1870204853875073,1.1878024266374125,0.025275078282547193,-0.030937243444472854,0,1.0211770619456932,0.0,0.0
2022-08-17,53.76,46.14,1.165149544863459,1.1800774640646883,1.1873231775911208,0.025429557896680062,-0.28493273677315917,0,1.0211770619456932,0.0,0.0
