date,BA,AIR,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2018-08-14,339.14,108.0,3.140185185185185,3.162679224214978,3.4220096215470366,0.16257500362547314,-1.5951431127105038,-1,1.0607613424119746,0.0008728034446642615,-0.0027609055770292656
2018-08-15,331.76,105.22,3.1530127352214405,3.1486478509626954,3.4143998126409048,0.16432199804083952,-1.617263451313202,-1,1.0619953704944938,0.0008728034446642615,-0.0027609055770292656
2018-08-16,345.98,107.56,3.2166232800297507,3.159320197010979,3.4092281620958014,0.16559860133233426,-1.5091188154620356,-1,1.0679461164273711,0.0008728034446642615,-0.0027609055770292656
2018-08-17,346.4,107.72,3.2157445228369848,3.171126095625995,3.402326396732683,0.16487563748019216,-1.4022708548099734,-2,1.0678709489818055,0.0008728034446642615,-0.0027609055770292656
2018-08-20,350.74,107.88,3.2512050426399703,3.1953541531826666,3.395676001196951,0.1627404600660428,-1.230928362455104,-2,1.0712171710393237,0.0008728034446642615,-0.0027609055770292656
2018-08-21,353.77,107.46,3.2921086916061792,3.225738854466865,3.3894356310042757,0.1593211371431323,-1.0274642741869668,-2,1.0750213458190088,0.0008728034446642615,-0.0027609055770292656
2018-08-22,350.03,107.32,3.2615542303391725,3.2474471534904112,3.383430434692556,0.1571880170062396,-0.8650995399779537,0,1.072023226161496,0.0,0.0
2018-08-23,347.48,107.74,3.2251717096714314,3.2491568394187476,3.375466834891825,0.15276547513046873,-0.8268229150938899,0,1.072023226161496,0.0,0.0
2018-08-24,349.38,107.5,3.250046511627907,3.256017237176932,3.3693184476151687,0.15020202787869666,-0.7543254378012734,0,1.072023226161496,0.0,0.0
2018-08-27,353.74,108.0,3.2753703703703705,3.260850302723012,3.3640897292852077,0.1478640644916198,-0.698204982509775,0,1.072023226161496,0.0,0.0
2018-08-28,351.21,108.96,3.22329295154185,3.2470871547101465,3.3574239073780676,0.14496994527573207,-0.7611008782410807,0,1.072023226161496,0.0,0.0
2018-08-29,350.19,110.06,3.181809921860803,3.2311382930144723,3.3498189275952464,0.14193260444422648,-0.836175979758129,0,1.072023226161496,0.0,0.0
2018-08-30,346.9,108.98,3.183152872086621,3.2227345254975104,3.3409448087966895,0.13515864941046066,-0.8746039104030158,0,1.072023226161496,0.0,0.0
2018-08-31,342.79,106.26,3.2259552042160737,3.2179162640151437,3.333073331308838,0.12753505084654854,-0.9029444574594029,0,1.072023226161496,0.0,0.0
2018-09-04,346.25,105.16,3.2926017497147204,3.2213625398840136,3.3269160000478886,0.12008395433211239,-0.8789972045053509,0,1.072023226161496,0.0,0.0
2018-09-05,346.68,103.0,3.3658252427184467,3.249868998119333,3.3217412010704015,0.11112811627459859,-0.6467508436251314,0,1.072023226161496,0.0,0.0
2018-09-06,351.27,104.28,3.3685270425776754,3.2872124222627073,3.3164083980645307,0.10038840760605888,-0.290830151588751,0,1.072023226161496,0.0,0.0
2018-09-07,349.28,104.84,3.3315528424265546,3.316892416330694,3.311401570979,0.0914796443869088,0.060022591785235904,0,1.072023226161496,0.0,0.0
2018-09-10,341.86,104.8,3.262022900763359,3.324105955640151,3.3079995553107735,0.0893992810080899,0.1801625264516376,0,1.072023226161496,0.0,0.0
2018-09-11,345.25,106.76,3.2338890970400898,3.312363425105225,3.304323704354106,0.0877958391911503,0.09157291308093965,0,1.072023226161496,0.0,0.0
2018-09-12,353.41,106.7,3.3121836925960637,3.3016351150807486,3.301505830339637,0.08467872719115278,0.0015267676475528011,0,1.072023226161496,0.0,0.0
2018-09-13,355.46,105.64,3.3648239303294205,3.3008944926310972,3.300925542180919,0.08411222794825693,-0.00036914430373923864,0,1.072023226161496,0.0,0.0
2018-09-14,359.8,106.2,3.3879472693032016,3.3121733780064266,3.300207709658226,0.08316159129166012,0.14388455250014878,0,1.072023226161496,0.0,0.0
2018-09-17,355.96,106.3,3.3486359360301035,3.3294959850597756,3.29893679254919,0.08179528305138567,0.3736058042783163,0,1.072023226161496,0.0,0.0
2018-09-18,363.58,104.94,3.4646464646464645,3.3756474585810508,3.300555105380738,0.08410372276348621,0.8928540941223853,0,1.072023226161496,0.0,0.0
2018-09-19,365.22,106.36,3.4338097028958257,3.399972660641003,3.3007957977584805,0.08446938113041025,1.1741161300732803,-2,1.072023226161496,0.0,0.0
2018-09-20,367.46,106.46,3.451625023482998,3.4173328792717186,3.3010916763975144,0.0849730117105098,1.3679779089179553,-2,1.072023226161496,0.0,0.0
2018-09-21,372.23,106.8,3.485299625468165,3.4368033505047118,3.303710780481587,0.08818249573930394,1.5092855890197245,1,1.071903226161496,-0.0008059533084383311,0.0028089887640449437
2018-09-24,367.99,105.98,3.47225891677675,3.4615279466540407,3.304738101604385,0.08979342067606587,1.7461172975610637,1,1.0730170974027577,-0.0008059533084383311,0.0028089887640449437
2018-09-25,367.23,105.08,3.494765892653217,3.467551832255391,3.3072108771209434,0.09294764966002245,1.7250673440472337,1,1.0711015320295303,-0.0008059533084383311,0.0028089887640449437
2018-09-26,365.03,108.48,3.364952064896755,3.4537803046555773,3.305967310488573,0.09163672115359865,1.6130323336126873,1,1.0824251911058476,-0.0008059533084383311,0.0028089887640449437
2018-09-27,367.39,108.9,3.3736455463728188,3.4381844092335414,3.305434984488403,0.09113964580948998,1.4565497107880574,-2,1.0817029165788319,-0.0008059533084383311,0.0028089887640449437
2018-09-28,371.9,108.18,3.437788870401183,3.4286822582201446,3.3059174693449975,0.0917707810804976,1.3377328538531539,-2,1.0760455952476626,-0.0008059533084383311,0.0028089887640449437
2018-10-01,382.29,107.4,3.559497206703911,3.4461299162055767,3.308619749355207,0.09676053201820807,1.4211390117666318,-2,1.0654807291370332,-0.0008059533084383311,0.0028089887640449437
2018-10-02,386.37,105.68,3.656037093111279,3.4783841562971896,3.3122230503369745,0.10537219877278087,1.5768970173861154,1,1.0573609789644476,-0.0008059533084383311,0.0028089887640449437
2018-10-03,392.3,107.06,3.6643003923033812,3.5382538217785147,3.317304787408878,0.11463120118156994,1.9274772670284122,1,1.0564580803397903,-0.0008059533084383311,0.0028089887640449437
2018-10-04,389.99,105.26,3.7050161504845143,3.6045279426008543,3.324016597531199,0.1250539344518133,2.2431229077222192,2,1.0531416551293897,0.0,0.0
2018-10-05,386.47,104.0,3.7160576923076927,3.6601817069821556,3.331098631924901,0.134811635946199,2.4410583904536685,2,1.0531416551293897,0.0,0.0
