date,PEP,KO,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2010-06-23,62.73,26.12,2.4016079632465543,2.433506774223063,2.4413195521241136,0.028448918694492877,-0.2746247751962189,0,1.0036210687924367,0.0,0.0
2010-06-24,62.4,25.9,2.4092664092664093,2.4226938987043054,2.440918841646872,0.028731580396870324,-0.6343174545508788,0,1.0036210687924367,0.0,0.0
2010-06-25,60.77,25.13,2.4182252288101873,2.416430687585609,2.4411256257634055,0.028518533128692757,-0.8659259600189868,0,1.0036210687924367,0.0,0.0
2010-06-28,61.96,25.54,2.4259984338292875,2.413673057278296,2.441366045712399,0.0283253247530217,-0.9776759375423866,0,1.0036210687924367,0.0,0.0
2010-06-29,61.23,25.17,2.4326579261025025,2.4175511922509885,2.4418204186088572,0.027954771275731424,-0.8681604338125201,0,1.0036210687924367,0.0,0.0
2010-06-30,60.95,25.06,2.4321628092577816,2.4236621614532337,2.4416014009730986,0.02797848503519617,-0.6411798028841772,0,1.0036210687924367,0.0,0.0
2010-07-01,61.52,25.02,2.4588329336530776,2.4335754663305673,2.4417111459530343,0.028033814290303747,-0.29020951406105727,0,1.0036210687924367,0.0,0.0
2010-07-02,61.53,25.03,2.4582500998801438,2.4415804405445587,2.441777963093894,0.02806894054291279,-0.007037050402147563,0,1.0036210687924367,0.0,0.0
2010-07-06,61.64,25.22,2.4440919904837433,2.44519915187545,2.442000009089136,0.02803305078387196,0.1141203934947679,0,1.0036210687924367,0.0,0.0
2010-07-07,62.93,25.74,2.444832944832945,2.447634155621538,2.4423771250067925,0.0279142007411936,0.18832817974930513,0,1.0036210687924367,0.0,0.0
2010-07-08,64.0,26.21,2.441816100724914,2.449564813914965,2.4428523224688927,0.027652347704890754,0.24274580653001485,0,1.0036210687924367,0.0,0.0
2010-07-09,63.5,26.2,2.4236641221374047,2.44253105161183,2.443041726930523,0.02747790143475028,-0.018584946157748524,0,1.0036210687924367,0.0,0.0
2010-07-12,63.74,26.23,2.4300419367136867,2.436889418978539,2.4428310362701486,0.027529112992009996,-0.21583032091641627,0,1.0036210687924367,0.0,0.0
2010-07-13,63.43,26.36,2.406297420333839,2.429330504948558,2.44283656317992,0.027521618530134868,-0.4907436027635322,0,1.0036210687924367,0.0,0.0
2010-07-14,63.56,26.41,2.4066641423703143,2.421696744456032,2.4431067066952026,0.027074668439660422,-0.7907746788067159,0,1.0036210687924367,0.0,0.0
2010-07-15,63.16,26.43,2.389708664396519,2.411275257190353,2.4426145774845818,0.027775202731307874,-1.1283201277556696,-2,1.0036210687924367,0.0,0.0
2010-07-16,62.45,26.19,2.3844978999618176,2.4034420127552356,2.4417781033695536,0.02875641751453548,-1.3331316599134877,-2,1.0036210687924367,0.0,0.0
2010-07-19,62.05,26.14,2.3737566947207345,2.392184964356645,2.4416009014970794,0.029146171078138907,-1.6954521061429846,-1,1.0035010687924368,0.004834810636583401,-0.011476664116296862
2010-07-20,64.73,26.62,2.4316303531179564,2.3972515509134684,2.442094666476662,0.028711706405700622,-1.5618408369587522,-1,1.0109495625226579,0.004834810636583401,-0.011476664116296862
2010-07-21,63.95,27.04,2.3650147928994083,2.388921681019287,2.4411815958186835,0.030262006365913148,-1.7269150686010564,-1,1.0023582112972782,0.004834810636583401,-0.011476664116296862
2010-07-22,64.21,27.13,2.3667526723184666,2.384330482603677,2.44013957656509,0.03172024808838492,-1.759415430986149,-1,1.0025823622923231,0.004834810636583401,-0.011476664116296862
2010-07-23,64.45,27.38,2.3539079620160703,2.378212495014527,2.438922850194894,0.03358176445055814,-1.8078369666891547,-1,1.000873550816029,0.004834810636583401,-0.011476664116296862
2010-07-26,64.98,27.47,2.3654896250455044,2.376559081079481,2.437906044727193,0.03486350775349803,-1.7596325671376685,-1,1.0024031006829515,0.004834810636583401,-0.011476664116296862
2010-07-27,65.69,27.53,2.3861242281147836,2.3674578560788464,2.437008863418743,0.0354967766545302,-1.9593612123375739,-1,1.0051472163879478,0.004834810636583401,-0.011476664116296862
2010-07-28,65.2,27.44,2.376093294460641,2.3696735563910933,2.4358800115803887,0.03634324234114074,-1.8216991914986436,-1,1.0038110589464886,0.004834810636583401,-0.011476664116296862
2010-07-29,64.89,27.5,2.3596363636363638,2.368250294654673,2.434195625789421,0.037497096279502914,-1.7586783425359789,-1,1.00162366780217,0.004834810636583401,-0.011476664116296862
2010-07-30,64.91,27.56,2.35522496371553,2.3685136949945647,2.4329474494796233,0.038857004969193545,-1.6582275071417039,-1,1.0010317641679236,0.004834810636583401,-0.011476664116296862
2010-08-02,65.27,28.21,2.313718539524991,2.3581594778904615,2.430272968796755,0.041409033141811526,-1.7414917817407052,-1,0.9953124643215008,0.004834810636583401,-0.011476664116296862
2010-08-03,65.77,28.19,2.333096842852075,2.34755400083792,2.428301171049807,0.04316526055404188,-1.870651750399917,-1,0.9979594029221184,0.004834810636583401,-0.011476664116296862
2010-08-04,66.17,28.28,2.3398161244695896,2.34029856683971,2.426334622618502,0.04446632592735519,-1.9348586595472101,-1,0.998860427406285,0.004834810636583401,-0.011476664116296862
2010-08-05,65.58,28.19,2.3263568641362182,2.3336426669396806,2.42373585818203,0.04568093864738677,-1.97222723328395,-1,0.9970407889011675,0.004834810636583401,-0.011476664116296862
2010-08-06,65.9,28.38,2.3220577871740664,2.3270092316313877,2.4211311320507036,0.04695250668004137,-2.0046192860524177,2,0.9962784977730637,0.0,0.0
2010-08-09,66.42,28.56,2.3256302521008405,2.329391574146558,2.4184710755047205,0.047773204850912444,-1.8646331481456195,-1,0.9961584977730636,0.004516711833785004,-0.01050420168067227
2010-08-10,66.53,28.49,2.3352053352053352,2.32981327261721,2.4161025754984258,0.048325944189844344,-1.785568897365684,-1,0.997390630192427,0.004516711833785004,-0.01050420168067227
2010-08-11,65.45,28.02,2.3358315488936476,2.3290163575020215,2.413382034297221,0.04817080690608872,-1.7513859994015537,-1,0.9974495562018552,0.004516711833785004,-0.01050420168067227
2010-08-12,65.18,27.85,2.340394973070018,2.3318239792887816,2.410624649824533,0.04751948384425464,-1.6582812808746237,-1,0.9980157582924475,0.004516711833785004,-0.01050420168067227
2010-08-13,65.56,27.87,2.352350197344815,2.3378824613229314,2.4083897233947384,0.047044038713749445,-1.498750192363906,-2,0.9995220247556723,0.004516711833785004,-0.01050420168067227
2010-08-16,65.43,27.94,2.341803865425913,2.341117183987946,2.4061185331295882,0.04691200820474638,-1.3856015043727283,-2,0.9981995580996332,0.004516711833785004,-0.01050420168067227
2010-08-17,65.55,28.06,2.3360655737704916,2.3412892317009772,2.4039806079379082,0.047136074637895715,-1.3300084217562185,-2,0.9974810593180067,0.004516711833785004,-0.01050420168067227
2010-08-18,65.52,27.92,2.3467048710601714,2.343463896134282,2.4020766801832623,0.047103445939227544,-1.2443417435871205,-2,0.9988161461982873,0.004516711833785004,-0.01050420168067227
2010-08-19,64.66,27.64,2.3393632416787264,2.3432575498560233,2.3996529238596014,0.04651308856395879,-1.2124624647539897,-2,0.9978729504918205,0.004516711833785004,-0.01050420168067227
2010-08-20,64.8,27.65,2.3435804701627485,2.34150360441961,2.3979578060300457,0.046674816907856465,-1.2095216510840419,-2,0.9984002481317437,0.004516711833785004,-0.01050420168067227
2010-08-23,64.82,27.8,2.3316546762589927,2.339473766586226,2.3959001640873936,0.046833478324484555,-1.204830380315098,-2,0.9969149521163185,0.004516711833785004,-0.01050420168067227
2010-08-24,64.78,27.83,2.327703916636723,2.3378014351594727,2.3939105341636346,0.04715692635745562,-1.1898379164674069,-2,0.996419157592547,0.004516711833785004,-0.01050420168067227
2010-08-25,64.57,27.7,2.331046931407942,2.3346698472290264,2.3919815892582506,0.04732430227052374,-1.2110425147233745,-2,0.9968361943259395,0.004516711833785004,-0.01050420168067227
2010-08-26,64.13,27.58,2.325235678027556,2.3318443344987925,2.3903819626024596,0.04793759755258544,-1.2211214389593457,-2,0.9961093453207548,0.004516711833785004,-0.01050420168067227
2010-08-27,64.12,28.08,2.283475783475784,2.3198233971613993,2.3884032484048925,0.04985354161403653,-1.3756264655063979,-2,0.9908120773620809,0.004516711833785004,-0.01050420168067227
2010-08-30,63.6,27.78,2.289416846652268,2.311375831240055,2.386622598345197,0.05145074369422245,-1.4625010583392533,-2,0.9916146477127143,0.004516711833785004,-0.01050420168067227
2010-08-31,64.18,27.94,2.297065139584825,2.305248075829675,2.384401767994445,0.052399888928820824,-1.5105698462890038,-1,0.9925536683074021,0.004516711833785004,-0.01050420168067227
2010-09-01,64.89,28.66,2.2641311933007677,2.29186492820824,2.381634314001229,0.05429191861968545,-1.6534576061277753,-1,0.9881975084993054,0.004516711833785004,-0.01050420168067227
2010-09-02,64.97,28.69,2.264552108748693,2.2797282143524678,2.378819995564486,0.05591478159312155,-1.7721929405552426,-1,0.9882437193955881,0.004516711833785004,-0.01050420168067227
2010-09-03,65.57,28.78,2.2783182765809586,2.2786967129735025,2.376227727420324,0.05691652044315375,-1.713580058785079,-1,0.9900083683445986,0.004516711833785004,-0.01050420168067227
2010-09-07,65.48,28.82,2.272033310201249,2.2752200056832987,2.3730832058062443,0.05738020388563055,-1.7055220005492695,-1,0.9891816962123311,0.004516711833785004,-0.01050420168067227
2010-09-08,65.43,28.92,2.262448132780083,2.2682966043223503,2.3694798568805293,0.057426991339661775,-1.76194591076021,-1,0.9879054404525747,0.004516711833785004,-0.01050420168067227
2010-09-09,66.1,29.15,2.2675814751286447,2.2689866606879256,2.3662354469444784,0.05759588006727299,-1.6884677539949817,-1,0.988515670994656,0.004516711833785004,-0.01050420168067227
2010-09-10,66.41,29.26,2.269651401230348,2.2700065191842564,2.3634077540133305,0.05810980842510119,-1.607323055443568,-1,0.9887603894782554,0.004516711833785004,-0.01050420168067227
2010-09-13,66.25,29.02,2.282908339076499,2.270924531683365,2.3604007132169356,0.05751657770277187,-1.5556589961933471,-1,0.9905587239882111,0.004516711833785004,-0.01050420168067227
2010-09-14,65.98,28.8,2.2909722222222224,2.2747123140875596,2.357757895513912,0.05699188921379944,-1.4571473690723766,-2,0.991650136162837,0.004516711833785004,-0.01050420168067227
2010-09-15,66.5,28.71,2.3162661093695576,2.2854759094054544,2.3556992209139733,0.05620408101254795,-1.2494343870303841,-2,0.9949442044676657,0.004516711833785004,-0.01050420168067227
2010-09-16,66.61,28.76,2.3160639777468703,2.2951724099290995,2.35407916635577,0.05591676992995211,-1.0534720889719493,-2,0.9949158326853484,0.004516711833785004,-0.01050420168067227
2010-09-17,66.12,28.78,2.2974287699791525,2.3007278836788605,2.3523428464679808,0.05603325539131189,-0.9211487433429273,0,0.9923723686710165,0.0,0.0
2010-09-20,66.89,28.99,2.3073473611590205,2.3056156880953647,2.3506441956661903,0.05582281194887191,-0.8066327366680713,0,0.9923723686710165,0.0,0.0
2010-09-21,66.46,29.06,2.2869924294562973,2.3048197295421793,2.348456982343626,0.05570082171937352,-0.7834220655001427,0,0.9923723686710165,0.0,0.0
2010-09-22,66.66,29.12,2.2891483516483513,2.2993961779979384,2.34617614764061,0.05527205678792501,-0.8463584017175856,0,0.9923723686710165,0.0,0.0
2010-09-23,65.79,28.94,2.2733241188666207,2.2908482062218885,2.343520584186679,0.05487276723963458,-0.9599001583930539,0,0.9923723686710165,0.0,0.0
2010-09-24,66.13,29.31,2.2562265438416924,2.2826077609943964,2.3405883130964105,0.05475633653865904,-1.0588829671079005,-2,0.9923723686710165,0.0,0.0
2010-09-27,66.37,29.3,2.2651877133105804,2.2741758314247082,2.337360892757369,0.0533577012552998,-1.1841788504032422,-2,0.9923723686710165,0.0,0.0
2010-09-28,66.78,29.55,2.2598984771573605,2.268757040964921,2.334055032378656,0.05186457518252153,-1.259009471955347,-2,0.9923723686710165,0.0,0.0
2010-09-29,66.75,29.38,2.2719537100068075,2.265318112636612,2.3311860610373736,0.05041534230949469,-1.3065060234324049,-2,0.9923723686710165,0.0,0.0
2010-09-30,66.44,29.26,2.270676691729323,2.264788627209153,2.32828345681898,0.04874717907066891,-1.302533414657254,-2,0.9923723686710165,0.0,0.0
2010-10-01,67.0,29.56,2.266576454668471,2.2668586093745082,2.3253627960513725,0.04704978212750377,-1.243452871223067,-2,0.9923723686710165,0.0,0.0
2010-10-04,66.87,29.44,2.2713994565217392,2.2681009580167406,2.3228250516244446,0.045746115958648144,-1.1962566102261327,-2,0.9923723686710165,0.0,0.0
2010-10-05,67.76,29.83,2.2715387194099903,2.2704290064672663,2.32018333133605,0.043992647045796876,-1.1309691098375747,-2,0.9923723686710165,0.0,0.0
2010-10-06,68.11,29.9,2.277926421404682,2.271623548746841,2.3180438146872304,0.042840101772984744,-1.0835703936086947,-2,0.9923723686710165,0.0,0.0
2010-10-07,66.1,29.72,2.2240915208613727,2.2623065145732513,2.3150009376620817,0.042922695564399725,-1.2276587571199844,-2,0.9923723686710165,0.0,0.0
2010-10-08,65.75,29.71,2.2130595759003704,2.251603138819631,2.3120567861871453,0.043761647361142214,-1.3814298823949995,-2,0.9923723686710165,0.0,0.0
2010-10-11,65.52,29.78,2.2001343183344524,2.237350111182174,2.3089840598266895,0.04504277628158925,-1.5903537605384077,-1,0.9922523686710165,0.004578754578754579,-0.010073875083948958
2010-10-12,66.08,29.8,2.2174496644295303,2.226532300186082,2.3063789426551695,0.045747668866239335,-1.7453707357756199,-1,0.9946149937334401,0.004578754578754579,-0.010073875083948958
2010-10-13,66.4,29.97,2.215548882215549,2.214056792348255,2.302777584806796,0.04419949009415882,-2.007280904588224,2,0.9942464477663111,0.0,0.0
2010-10-14,66.64,29.96,2.2242990654205608,2.2140983012600928,2.3004323226821484,0.04457282998859304,-1.9369203491039264,-1,0.9941264477663111,0.004501800720288115,-0.01001335113484646
2010-10-15,66.68,29.97,2.224891558224892,2.216464697724997,2.298067970780589,0.04475736885496948,-1.8232366008827894,-1,0.9942063862837742,0.004501800720288115,-0.01001335113484646
2010-10-18,66.5,30.0,2.216666666666667,2.21977116739144,2.295780615858099,0.04535813235628201,-1.6757623058554296,-1,0.9930956616200769,0.004501800720288115,-0.01001335113484646
2010-10-19,65.41,30.17,2.168047729532648,2.209890780412063,2.2924899175995512,0.04733416594298455,-1.7450214985721162,-1,0.986486429142039,0.004501800720288115,-0.01001335113484646
2010-10-20,64.97,30.58,2.1245912361020274,2.191699251189359,2.2881310343993393,0.05050146231199143,-1.9094849692517302,-1,0.9804001628598252,0.004501800720288115,-0.01001335113484646
2010-10-21,65.18,30.74,2.120364346128823,2.1709123073310117,2.283868885260475,0.0536453848496836,-2.1056159489949056,2,0.9796231572725436,0.0,0.0
2010-10-22,65.01,30.81,2.1100292112950343,2.1479398379450396,2.2797087660547866,0.05722879113937919,-2.3024936484998824,2,0.9796231572725436,0.0,0.0
2010-10-25,65.05,30.51,2.1320878400524417,2.131024072622195,2.2759898139937347,0.05944550887512277,-2.4386323561645233,2,0.9796231572725436,0.0,0.0
2010-10-26,64.79,30.62,2.1159372958850424,2.120601985892674,2.272693459933069,0.0627118427192023,-2.425243262606676,2,0.9796231572725436,0.0,0.0
2010-10-27,64.27,30.6,2.1003267973856206,2.1157490981493927,2.268813959175295,0.06602418713699452,-2.318314964004112,2,0.9796231572725436,0.0,0.0
2010-10-28,65.01,30.61,2.123815746488076,2.116439378221243,2.265213952875603,0.0679478832465464,-2.189539505072395,2,0.9796231572725436,0.0,0.0
2010-10-29,65.3,30.66,2.129810828440965,2.120395701650429,2.2619381856140155,0.06966623660792899,-2.0317228381398866,2,0.9796231572725436,0.0,0.0
2010-11-01,65.55,30.86,2.124108878807518,2.1187999094014445,2.258639037141239,0.07143554346614428,-1.9575567141316572,-1,0.9795031572725436,0.004576659038901602,-0.009721322099805573
