date,WMT,DE,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-05-17,52.73,57.95,0.9099223468507333,0.8837429924388305,0.9134289696786241,0.024309127732938342,-1.2211864434596618,-2,1.0,0.0,0.0
2021-05-18,53.71,57.16,0.9396431070678797,0.89521685435022,0.9132666428622657,0.02409656276856135,-0.7490607139867723,0,1.0,0.0,0.0
2021-05-19,53.04,58.87,0.9009682350942756,0.9037389279310641,0.9123500529491613,0.023483072088227978,-0.3666949956864406,0,1.0,0.0,0.0
2021-05-20,51.3,56.67,0.9052408681842243,0.9097704015011085,0.9114411980703757,0.022657340248243632,-0.07374195518808442,0,1.0,0.0,0.0
2021-05-21,51.37,58.73,0.8746807423803848,0.9060910599154995,0.9101747581961911,0.022551024536390324,-0.18108703993034703,0,1.0,0.0,0.0
2021-05-24,51.0,56.33,0.9053790165098526,0.9051823938473234,0.9095372415138219,0.022125885165111395,-0.19682139873731885,0,1.0,0.0,0.0
2021-05-25,50.28,55.89,0.8996242619431025,0.897178624822368,0.9091195307082701,0.022071539549635824,-0.5410091968912587,0,1.0,0.0,0.0
2021-05-26,50.02,56.14,0.8909868186676168,0.8951823415370364,0.9086254411230447,0.022141159230137306,-0.6071542797863229,0,1.0,0.0,0.0
2021-05-27,50.7,59.44,0.8529609690444147,0.8847263617090743,0.9075954065862069,0.023260073465204263,-0.9831888498264365,0,1.0,0.0,0.0
2021-05-28,50.56,57.68,0.8765603328710125,0.8851022798071998,0.9068315260941711,0.023517040867268472,-0.9239787611720528,0,1.0,0.0,0.0
2021-06-01,50.92,57.13,0.8913005426220899,0.8822865850296473,0.9065314573190392,0.02359966747573823,-1.027339572234098,-2,1.0,0.0,0.0
2021-06-02,51.72,60.07,0.8609955052438821,0.8745608336898032,0.9056364499740048,0.024292886508840116,-1.279206415956099,-2,1.0,0.0,0.0
2021-06-03,51.72,59.67,0.8667672197083961,0.8697169138979591,0.9048835149718438,0.02478912471631559,-1.4186302048308672,-2,1.0,0.0,0.0
2021-06-04,50.4,56.88,0.8860759493670886,0.8763399099624938,0.9043696329061006,0.024855109743726327,-1.127724770987254,-2,1.0,0.0,0.0
2021-06-07,50.74,54.78,0.9262504563709383,0.8862779346624791,0.9042259868659985,0.0247002779055583,-0.7266336140890391,0,1.0,0.0,0.0
2021-06-08,50.78,55.06,0.9222666182346531,0.8924711497849916,0.9042776337774583,0.024735264895758804,-0.4773138287470301,0,1.0,0.0,0.0
2021-06-09,50.99,55.27,0.9225619685181834,0.9047844424398519,0.9037639940131261,0.024007617652797648,0.042505193205076654,0,1.0,0.0,0.0
2021-06-10,51.22,57.87,0.8850872645584932,0.9084484514098714,0.9026775891782614,0.023332753989447872,0.24732880800182858,0,1.0,0.0,0.0
2021-06-11,50.86,58.86,0.8640842677539925,0.9040501150872521,0.9014387855522225,0.023376437037788217,0.11170776499465637,0,1.0,0.0,0.0
2021-06-14,51.24,57.64,0.8889659958362248,0.8965932229803094,0.9005193017978754,0.02274504439878109,-0.1726124930218388,0,1.0,0.0,0.0
2021-06-15,51.64,59.5,0.8678991596638655,0.8857197312661519,0.8993488693597705,0.022583392757834362,-0.6035026818054429,0,1.0,0.0,0.0
2021-06-16,50.98,59.34,0.8591169531513312,0.8730307281927814,0.8982226335295315,0.022879741980790666,-1.1010572303612804,-2,1.0,0.0,0.0
2021-06-17,51.41,59.42,0.8651969033995287,0.8690526559609886,0.8976086890854371,0.02326670456588456,-1.2273346680268422,-2,1.0,0.0,0.0
2021-06-18,51.55,59.26,0.8698953763077961,0.8702148776717493,0.8967931193804882,0.02336766783593752,-1.1373938509971369,-2,1.0,0.0,0.0
2021-06-21,51.02,60.45,0.8440033085194376,0.8612223402083918,0.8954639386420802,0.024065831191608978,-1.422830491956054,-2,1.0,0.0,0.0
2021-06-22,50.68,59.1,0.8575296108291032,0.8591484304414394,0.8944792384086507,0.02439237868886846,-1.4484363504628048,-2,1.0,0.0,0.0
2021-06-23,50.81,59.21,0.858132072285087,0.8589514542681906,0.8936388153265236,0.024764943008646564,-1.4006638757949894,-2,1.0,0.0,0.0
2021-06-24,50.03,58.19,0.8597697198831414,0.8578660175649132,0.8927198515950171,0.02498437779251928,-1.3950250960638164,-2,1.0,0.0,0.0
2021-06-25,48.8,59.74,0.8168731168396384,0.8472615656712815,0.8907496967366487,0.026217531731699214,-1.658742383165932,-1,0.99988,0.006147540983606557,-0.005021760964178105
2021-06-28,49.57,58.51,0.8472056058793369,0.8479020251432614,0.8893888170622908,0.026324853002958608,-1.5759553116732217,-1,1.010790372543316,0.006147540983606557,-0.005021760964178105
2021-06-29,48.9,55.43,0.8821937578928378,0.8528348545560084,0.8888408370377257,0.02612258344456124,-1.378346921855226,-2,1.0221385438539683,0.006147540983606557,-0.005021760964178105
2021-06-30,48.07,55.68,0.8633261494252874,0.8538736699840485,0.887977463808525,0.02609506855586107,-1.306905699499177,-2,1.0157806445965303,0.006147540983606557,-0.005021760964178105
2021-07-01,48.34,55.21,0.8755660206484333,0.8570329301371068,0.8873163676846743,0.025894579767216132,-1.1694894383228358,-2,1.0198007083152678,0.006147540983606557,-0.005021760964178105
2021-07-02,48.0,54.5,0.8807339449541285,0.8698050957600048,0.8867692687467879,0.025676565081601373,-0.660687009063328,0,1.0211622410774561,0.0,0.0
2021-07-06,48.57,54.63,0.8890719384953322,0.8781783622832039,0.8867065680243473,0.025666095597243522,-0.3322751490904345,0,1.0211622410774561,0.0,0.0
2021-07-07,48.92,56.6,0.8643109540636043,0.8746018015173572,0.8863309640027769,0.025828390100218323,-0.454118992314605,0,1.0211622410774561,0.0,0.0
2021-07-08,49.18,57.26,0.8588892769821865,0.873714427028737,0.885826155776551,0.02606669749298104,-0.4646437758782171,0,1.0211622410774561,0.0,0.0
2021-07-09,49.43,58.01,0.852094466471298,0.86902011619331,0.8852848669076103,0.02642788852014045,-0.6154389028054632,0,1.0211622410774561,0.0,0.0
2021-07-12,50.12,57.48,0.871955462769659,0.8672644197564161,0.8852098370556711,0.0264597464342867,-0.6782157698987338,0,1.0211622410774561,0.0,0.0
2021-07-13,50.54,59.37,0.8512716860367189,0.8597043692646933,0.8844938258514851,0.026790652487978593,-0.9253024575610918,0,1.0211622410774561,0.0,0.0
2021-07-14,50.35,59.72,0.8431011386470194,0.8554624061813764,0.883554606914818,0.027241299705909897,-1.0312356986163607,-2,1.0211622410774561,0.0,0.0
2021-07-15,50.41,61.08,0.8253110674525213,0.8487467642754434,0.8822156606968342,0.02809784612932861,-1.1911552318757952,-2,1.0211622410774561,0.0,0.0
2021-07-16,49.67,59.73,0.8315754227356438,0.8446429555283125,0.8810697414338884,0.028741201768042436,-1.2674064988499936,-2,1.0211622410774561,0.0,0.0
2021-07-19,49.52,60.11,0.8238229911828315,0.835016461210947,0.8799023774636634,0.029621641162721705,-1.5153082169263645,-1,1.0210422410774562,0.0060581583198707585,-0.004990850108135086
2021-07-20,50.88,60.69,0.8383588729609491,0.832433898595793,0.8791666043504996,0.030100301797837525,-1.552566019722236,-1,1.0263866433297621,0.0060581583198707585,-0.004990850108135086
2021-07-21,50.35,61.76,0.8152525906735751,0.8268641890011041,0.8782763036662055,0.031186410424700883,-1.6485422324969106,-1,1.0178356098045263,0.0060581583198707585,-0.004990850108135086
2021-07-22,50.86,62.81,0.809743671389906,0.823750709788581,0.8765888442896178,0.03211170740293787,-1.6454476816826844,-1,1.0156848779341185,0.0060581583198707585,-0.004990850108135086
2021-07-23,51.67,64.5,0.8010852713178295,0.8176526795050183,0.8749436223093997,0.03340512375578485,-1.7150345923942336,-1,1.0121574494904655,0.0060581583198707585,-0.004990850108135086
2021-07-26,51.13,64.98,0.7868574946137273,0.8102595801911974,0.8732913737114065,0.035250082327474445,-1.788131810151298,-1,1.0064904359458304,0.0060581583198707585,-0.004990850108135086
2021-07-27,50.96,64.28,0.7927815805849409,0.8011441217159957,0.8715595655509782,0.03660737819552502,-1.92353146567569,-1,1.0089541441071468,0.0060581583198707585,-0.004990850108135086
2021-07-28,51.13,64.18,0.7966656279214708,0.7974267291655749,0.8702308898345575,0.03785471584429572,-1.9232520716425723,-1,1.0104831160323384,0.0060581583198707585,-0.004990850108135086
2021-07-29,51.06,64.51,0.7915051929933343,0.7937790334862604,0.868011254257321,0.03850662536505681,-1.9277778841254478,-1,1.008412064414263,0.0060581583198707585,-0.004990850108135086
2021-07-30,51.19,66.68,0.7676964607078584,0.7871012713642663,0.8649335934027765,0.0390270515967252,-1.9943172454524134,-1,0.998369480261193,0.0060581583198707585,-0.004990850108135086
2021-08-02,51.41,67.17,0.7653714455858269,0.7828040615586862,0.8619570892402727,0.03970209839150962,-1.9936736567685687,-1,0.9972567585385783,0.0060581583198707585,-0.004990850108135086
2021-08-03,51.29,66.82,0.7675845555222988,0.7777646565461579,0.8592600386432369,0.04053023570158252,-2.010730524665983,2,0.9981477347691509,0.0,0.0
2021-08-04,51.6,67.56,0.7637655417406749,0.7711846393099987,0.8572438252116503,0.042215237041347206,-2.038581136412002,2,0.9981477347691509,0.0,0.0
2021-08-05,51.62,67.98,0.7593409826419535,0.7647517972397224,0.8551949449638341,0.04392830069647228,-2.058881092374575,2,0.9981477347691509,0.0,0.0
2021-08-06,51.79,68.04,0.7611699000587888,0.7634464851099085,0.8535751455116463,0.0455708278116994,-1.977770971687264,-1,0.9980277347691509,0.00579262405869859,-0.004409171075837742
2021-08-09,52.06,69.29,0.7513349689709915,0.7606391897869414,0.8515126699889294,0.04734663672735972,-1.9193228174848542,-1,0.9940802794202023,0.00579262405869859,-0.004409171075837742
2021-08-10,52.22,67.92,0.7688457008244993,0.7608914188473817,0.8494421408308638,0.04820674190178299,-1.836894975476593,-1,1.0010476636434917,0.00579262405869859,-0.004409171075837742
2021-08-11,51.02,65.34,0.780838689929599,0.7643060484851664,0.847290746548845,0.04834206790600102,-1.716614569013444,-1,1.0054721761487149,0.00579262405869859,-0.004409171075837742
2021-08-12,50.43,65.53,0.769571188768503,0.7663520897104763,0.8444562145771887,0.04781845490037811,-1.6333468956583703,-1,1.0012167854496734,0.00579262405869859,-0.004409171075837742
2021-08-13,50.4,64.85,0.7771781033153431,0.7695537303617872,0.8423930457142065,0.04800900497472327,-1.5172011040588982,-1,1.004041243059482,0.00579262405869859,-0.004409171075837742
2021-08-16,50.41,65.59,0.7685622808354932,0.7729991927346875,0.8401150692583942,0.04821856865243333,-1.3919093494352341,-2,1.000836382703949,0.00579262405869859,-0.004409171075837742
2021-08-17,51.02,67.23,0.7588874014576826,0.7710075328613242,0.8381851802430159,0.049120479931222115,-1.367609752098372,-2,0.9971388428153813,0.00579262405869859,-0.004409171075837742
2021-08-18,50.86,65.98,0.7708396483782964,0.7690077245510636,0.8359428574408233,0.049071929168827626,-1.3640208164524228,-2,1.0017234868107867,0.00579262405869859,-0.004409171075837742
2021-08-19,50.06,65.71,0.7618322934104399,0.7674599454794511,0.8336463246319455,0.049265075186310944,-1.3434746400404434,-2,0.998279863754304,0.00579262405869859,-0.004409171075837742
2021-08-20,50.22,65.13,0.7710732381391064,0.7662389724442037,0.8316477649564704,0.049331740187219246,-1.3258967201244745,-2,1.0017640028276817,0.00579262405869859,-0.004409171075837742
2021-08-23,51.14,63.02,0.8114884163757538,0.7748241995522558,0.830956555745326,0.04931859333436522,-1.1381580940987053,-2,1.016396567931702,0.00579262405869859,-0.004409171075837742
2021-08-24,51.3,62.34,0.8229066410009623,0.7876280474609118,0.8300623275474919,0.04896283842570904,-0.8666629928116882,0,1.0202072182448476,0.0,0.0
2021-08-25,51.55,62.86,0.8200763601654469,0.7974753898183419,0.8288752578398811,0.048312062175096364,-0.6499384751521764,0,1.0202072182448476,0.0,0.0
2021-08-26,50.97,62.75,0.8122709163346613,0.8075631144031862,0.8280631813580608,0.04817230576421152,-0.42555710443290945,0,1.0202072182448476,0.0,0.0
2021-08-27,51.0,64.63,0.7891072257465573,0.8111699119246764,0.8267688481253636,0.04815806205236835,-0.3239112110392752,0,1.0202072182448476,0.0,0.0
2021-08-30,50.55,62.98,0.8026357573832963,0.809399380126185,0.825378178258967,0.047618144517160954,-0.33556112475200445,0,1.0202072182448476,0.0,0.0
2021-08-31,50.14,63.27,0.7924766872135293,0.8033133893686983,0.8231486154396769,0.04591643259407004,-0.43198534708334885,0,1.0202072182448476,0.0,0.0
2021-09-01,51.2,66.53,0.7695776341500076,0.7932136441656104,0.8206037990382662,0.04454053843392267,-0.6149488945511967,0,1.0202072182448476,0.0,0.0
2021-09-02,51.76,67.75,0.7639852398523985,0.7835565088691578,0.817960853560503,0.04306849049700053,-0.7988286632367853,0,1.0202072182448476,0.0,0.0
