date,PG,ULVR,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-07-08,136.98,42.97,3.1878054456597624,3.170959970708063,3.186580248652276,0.06016554509723459,-0.25962164755539935,0,1.0091004070635754,0.0,0.0
2021-07-09,137.03,42.95,3.1904540162980206,3.174270206025869,3.184886795925609,0.05855468087428168,-0.18131069525481625,0,1.0091004070635754,0.0,0.0
2021-07-12,137.14,43.075,3.1837492745211833,3.1744861030846727,3.183037908649243,0.05675273163275849,-0.1506853559033647,0,1.0091004070635754,0.0,0.0
2021-07-13,136.97,43.405,3.1556272318857275,3.171967560645416,3.1806965373458977,0.054875624747343796,-0.1590683794612181,0,1.0091004070635754,0.0,0.0
2021-07-14,137.98,43.05,3.2051103368176537,3.1845492610364694,3.179012590555524,0.05245769167240468,0.10554544632885084,0,1.0091004070635754,0.0,0.0
2021-07-15,139.16,42.865,3.2464714802286245,3.1962824679502417,3.1775043309882753,0.04902807115256696,0.3830078671366053,0,1.0091004070635754,0.0,0.0
2021-07-16,140.51,43.58,3.22418540614961,3.2030287459205598,3.1761415073330688,0.046466592673112636,0.5786358981955002,0,1.0091004070635754,0.0,0.0
2021-07-19,140.44,43.46,3.2314772204325815,3.2125743351028397,3.1756890814030885,0.04577692963397425,0.8057607619095569,0,1.0091004070635754,0.0,0.0
2021-07-20,139.69,43.215,3.2324424389679507,3.2279373765192845,3.1752946564312263,0.045170210459991214,1.1654300378937925,-2,1.0091004070635754,0.0,0.0
2021-07-21,139.2,43.03,3.2349523588194278,3.233905780919639,3.1756699841279796,0.045575767053818904,1.2777798500437934,-2,1.0091004070635754,0.0,0.0
2021-07-22,137.8,40.505,3.4020491297370694,3.2650213108213277,3.1784205664773917,0.05361228450449885,1.6153153170831396,1,1.0089804070635755,-0.0021770682148040637,0.007406493025552401
2021-07-23,139.79,41.44,3.373310810810811,3.2948463917535675,3.1809330325762306,0.05897963787923065,1.9314014679200135,1,1.011573112295007,-0.0021770682148040637,0.007406493025552401
2021-07-26,140.28,40.31,3.4800297692880178,3.3445569015246557,3.1865124511141314,0.07029671902084843,2.2482478928163325,2,1.0020162207782721,0.0,0.0
2021-07-27,140.85,40.515,3.4764901888189557,3.393366451494856,3.191903637194668,0.07948749811763298,2.534522020079744,2,1.0020162207782721,0.0,0.0
2021-07-28,138.76,40.495,3.4265958760340784,3.431695154937787,3.195840934644108,0.08506482059390198,2.7726411299877203,2,1.0020162207782721,0.0,0.0
2021-07-29,139.48,41.07,3.396152909666423,3.430515910923657,3.1991053924312847,0.08890969814852656,2.602759016297566,2,1.0020162207782721,0.0,0.0
2021-07-30,142.23,41.51,3.4264032763189594,3.441134404025287,3.2035215218915103,0.09347040744264862,2.542118822789669,2,1.0020162207782721,0.0,0.0
2021-08-02,141.88,41.33,3.4328574885071377,3.431699947869111,3.208410727216476,0.09764419492988137,2.286763906579182,2,1.0020162207782721,0.0,0.0
2021-08-03,143.95,41.555,3.4640837444350856,3.429218658992337,3.213430735953395,0.10286677643750718,2.0977416665723525,2,1.0020162207782721,0.0,0.0
2021-08-04,142.43,41.245,3.453267062674264,3.434552896320374,3.217356578840901,0.10742685405629404,2.021806552816461,2,1.0020162207782721,0.0,0.0
2021-08-05,142.5,41.0,3.475609756097561,3.4504442656066017,3.221186342200731,0.11243796754668754,2.0389724966406555,2,1.0020162207782721,0.0,0.0
2021-08-06,141.41,40.92,3.455767350928641,3.456317080528538,3.225560648247838,0.11637159402042424,1.9829274852091507,1,1.0018962207782722,-0.0021214907007990947,0.007331378299120234
2021-08-09,142.18,41.245,3.4472057219056857,3.4591867272082473,3.229340901842014,0.1198332821451311,1.918046649910373,1,1.0026453708858711,-0.0021214907007990947,0.007331378299120234
2021-08-10,142.27,41.07,3.464085707328951,3.4591871197870203,3.233508670927834,0.12358137903282912,1.8261525371005574,1,1.0011714455204532,-0.0021214907007990947,0.007331378299120234
2021-08-11,142.62,41.365,3.447842378822676,3.4581021830167034,3.2377190277074614,0.12652315669186592,1.7418404746726508,1,1.002591680373414,-0.0021214907007990947,0.007331378299120234
2021-08-12,142.95,41.3,3.4612590799031477,3.4552320477778204,3.2423101611611713,0.1295682120997077,1.6433188601290383,1,1.0014150488527076,-0.0021214907007990947,0.007331378299120234
2021-08-13,143.64,41.59,3.4537148352969456,3.454821544651481,3.246697564591916,0.13221304163235068,1.5741562064527839,1,1.0020773199759012,-0.0021214907007990947,0.007331378299120234
2021-08-16,144.64,41.3,3.502179176755448,3.4658162356214333,3.2515352729317653,0.13617000546624056,1.573628215376644,1,0.9978297295683571,-0.0021214907007990947,0.007331378299120234
2021-08-17,144.88,41.635,3.479764621112045,3.4689520183780522,3.2557616246434615,0.13926977563487405,1.530772866996753,1,0.9997765835303706,-0.0021214907007990947,0.007331378299120234
2021-08-18,143.3,41.015,3.4938437157137634,3.47815228575627,3.2601501021361656,0.14257078721568575,1.5290803107533062,1,0.9985830842921787,-0.0021214907007990947,0.007331378299120234
2021-08-19,144.99,41.08,3.5294547224926975,3.49179141427418,3.265400292787563,0.146602271112507,1.5442538493341442,1,0.995474304597271,-0.0021214907007990947,0.007331378299120234
2021-08-20,145.09,41.355,3.508402853343006,3.502729017883392,3.2703823294219374,0.1497158509243069,1.5519177630625374,1,0.9972782845594491,-0.0021214907007990947,0.007331378299120234
2021-08-23,144.35,41.155,3.5074717531284167,3.5037875331579853,3.2751488634140142,0.1526562585549153,1.4977353166409648,-2,0.9973819120182165,-0.0021214907007990947,0.007331378299120234
2021-08-24,143.18,40.825,3.507164727495407,3.5092675544346577,3.2804252217907615,0.15513480632009813,1.4751192080758029,-2,0.9974447012994416,-0.0021214907007990947,0.007331378299120234
2021-08-25,142.67,40.4,3.531435643564356,3.5167859400047767,3.287049778114318,0.1572466177521955,1.4609927079798901,-2,0.9954108257797231,-0.0021214907007990947,0.007331378299120234
2021-08-26,142.42,40.625,3.5057230769230765,3.5120396108908523,3.2931412411610754,0.1585367728530809,1.3807419300292822,-2,0.9975907585722249,-0.0021214907007990947,0.007331378299120234
2021-08-27,142.31,40.45,3.5181705809641532,3.513993156415082,3.298727589331784,0.16048301008382965,1.3413604777904675,-2,0.9965411313469668,-0.0021214907007990947,0.007331378299120234
2021-08-30,142.93,40.45,3.533498145859085,3.5191984349612158,3.304592467938757,0.16254693198771608,1.3202707943984868,-2,0.9952258071124713,-0.0021214907007990947,0.007331378299120234
2021-08-31,142.39,40.46,3.5192782995551157,3.521621149373157,3.3099497160474542,0.16425700407914082,1.2886600149100322,-2,0.996444725873894,-0.0021214907007990947,0.007331378299120234
2021-09-01,143.84,40.44,3.556874381800198,3.526708897020326,3.316686337242059,0.1659771085926694,1.2653706379094205,-2,0.9932219367917529,-0.0021214907007990947,0.007331378299120234
2021-09-02,143.95,39.61,3.634183287048725,3.552400939045456,3.3247186405450693,0.1695081593565775,1.343193739844901,-2,0.9869035288263952,-0.0021214907007990947,0.007331378299120234
2021-09-03,144.05,39.78,3.6211664152840624,3.573000105909437,3.3321998648592985,0.1725451314163821,1.3955782992743202,-2,0.9879377140671657,-0.0021214907007990947,0.007331378299120234
2021-09-07,143.51,39.89,3.597643519679117,3.5858291806734437,3.339565137591831,0.1743073655018961,1.4128148995455598,-2,0.9898897706585005,-0.0021214907007990947,0.007331378299120234
2021-09-08,144.6,40.225,3.5947793660658793,3.6009293939755964,3.347126555431385,0.1753888429365778,1.4470865665952803,-2,0.9900333575248347,-0.0021214907007990947,0.007331378299120234
2021-09-09,143.99,39.655,3.6310679611650487,3.615768109848567,3.3559056420079587,0.1762104975666732,1.4747275073227875,-2,0.9871485812218236,-0.0021214907007990947,0.007331378299120234
2021-09-10,144.13,39.59,3.6405657994443037,3.6170446123276827,3.365673066017561,0.17546221717685323,1.4326249283443027,-2,0.9863750329342689,-0.0021214907007990947,0.007331378299120234
2021-09-13,145.68,39.98,3.643821910955478,3.6215757114619658,3.3750898588962306,0.1749668579120184,1.4087573812960619,-2,0.9859459598846871,-0.0021214907007990947,0.007331378299120234
2021-09-14,145.43,40.075,3.6289457267623204,3.6278361528786065,3.3844810408680797,0.17317965321375833,1.4052176886516214,-2,0.9871728134983033,-0.0021214907007990947,0.007331378299120234
2021-09-15,145.12,39.69,3.6563366087175613,3.6401476014089424,3.3938963850126753,0.17233096511922075,1.428943522865478,-2,0.9850078949703898,-0.0021214907007990947,0.007331378299120234
2021-09-16,144.11,39.46,3.6520527116066908,3.6443445514972708,3.4033404357880728,0.1706572021294746,1.4122118064865052,-2,0.9854643835693991,-0.0021214907007990947,0.007331378299120234
2021-09-17,144.34,39.18,3.6840224604389995,3.65303588369621,3.4127520737682864,0.17029940674114225,1.4109491895832542,-2,0.9829236547844616,-0.0021214907007990947,0.007331378299120234
2021-09-20,142.89,39.88,3.5829989969909724,3.6408713009033087,3.420285600262799,0.1676001514181746,1.3161426095023772,-2,0.9911317811100046,-0.0021214907007990947,0.007331378299120234
2021-09-21,143.11,40.13,3.5661599800647896,3.628314151563802,3.4269236035307644,0.16530535114524236,1.2182941848996143,-2,0.9924978977306087,-0.0021214907007990947,0.007331378299120234
2021-09-22,143.6,40.195,3.572583654683418,3.6115635607569745,3.4338211617966516,0.16253605785000325,1.0935567240369075,-2,0.99193490687666,-0.0021214907007990947,0.007331378299120234
2021-09-23,144.19,39.91,3.612878977699825,3.603728813975601,3.441632021508033,0.1596180194521752,1.015529405914822,-2,0.9885937845479392,-0.0021214907007990947,0.007331378299120234
2021-09-24,143.55,39.9,3.597744360902256,3.5864731940682524,3.4484368023408623,0.15737236378386915,0.8771323529013358,0,0.9897588124166126,0.0,0.0
2021-09-27,141.66,39.65,3.5727616645649434,3.5844257275830467,3.4550844494217947,0.15396642238600192,0.8400615936699923,0,0.9897588124166126,0.0,0.0
2021-09-28,140.59,40.125,3.5038006230529595,3.57195385618068,3.4604366299855576,0.14986313882867705,0.7441271220310441,0,0.9897588124166126,0.0,0.0
2021-09-29,142.02,40.635,3.4950166112956813,3.556440447503133,3.4658832411057854,0.14491984409979775,0.6248778899802448,0,0.9897588124166126,0.0,0.0
2021-09-30,139.8,40.05,3.4906367041198507,3.5319919927871384,3.471690488926743,0.13857162042032173,0.4351648893004665,0,0.9897588124166126,0.0,0.0
