date,JPM,BAC,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2022-08-30,114.41,34.09,3.356116163097682,3.365670316873762,3.4842240751432243,0.10523253072362354,-1.1265884936362955,-2,1.0039804405639765,0.0024563989191844758,-0.008264462809917356
2022-08-31,113.73,33.61,3.3838143409699497,3.3715177737120166,3.480810008027532,0.10510974795397321,-1.0397916125093711,-2,1.0062770314476914,0.0024563989191844758,-0.008264462809917356
2022-09-01,114.51,33.47,3.4212727815954587,3.3810426772138067,3.478193440219643,0.10459539052510822,-0.9288245162440044,0,1.0092384686359472,0.0,0.0
2022-09-02,113.71,33.43,3.401435836075381,3.387395080984862,3.4754431533044143,0.10440466202012981,-0.8433346808074154,0,1.0092384686359472,0.0,0.0
2022-09-06,113.74,33.06,3.4404113732607375,3.4006100989998416,3.4722646526240455,0.10246992170340626,-0.6992740155653111,0,1.0092384686359472,0.0,0.0
2022-09-07,115.9,33.57,3.4524873398868037,3.419884334357666,3.4697367685239775,0.10102158287133266,-0.49348300382311866,0,1.0092384686359472,0.0,0.0
2022-09-08,118.6,34.65,3.422799422799423,3.427681350723561,3.4664097008152734,0.09917814568495392,-0.39049278270170124,0,1.0092384686359472,0.0,0.0
2022-09-09,119.17,34.94,3.410704064109903,3.42556760722645,3.4628288308517736,0.09719350806391457,-0.38337152725077644,0,1.0092384686359472,0.0,0.0
2022-09-12,120.58,35.27,3.418769492486532,3.42903433850868,3.459792721769191,0.0956390326900952,-0.32160910033646145,0,1.0092384686359472,0.0,0.0
2022-09-13,116.39,34.0,3.423235294117647,3.4255991226800617,3.457490285410032,0.09481120827564708,-0.33636490147085013,0,1.0092384686359472,0.0,0.0
2022-09-14,116.12,33.87,3.428402716268084,3.420782197956318,3.455612995676989,0.09424227790878671,-0.3695878165676612,0,1.0092384686359472,0.0,0.0
2022-09-15,117.87,34.51,3.415531729933353,3.419328659383104,3.45377140122154,0.09392204137310303,-0.3667162823006941,0,1.0092384686359472,0.0,0.0
2022-09-16,117.08,34.12,3.4314185228604925,3.423471551133222,3.4520762293632847,0.09338178187704434,-0.3063196873639292,0,1.0092384686359472,0.0,0.0
2022-09-19,118.16,34.69,3.4061689247621794,3.420951437588351,3.4496603415340927,0.09264809130895406,-0.30987043057375074,0,1.0092384686359472,0.0,0.0
2022-09-20,115.83,34.17,3.3898156277436344,3.414267504313549,3.445639369148039,0.08983382514578171,-0.34922107328258856,0,1.0092384686359472,0.0,0.0
2022-09-21,112.49,33.15,3.393363499245852,3.4072596609091024,3.4422366433369125,0.08782735754969868,-0.39824700871841395,0,1.0092384686359472,0.0,0.0
2022-09-22,111.21,32.5,3.4218461538461535,3.4085225456916626,3.439430669438936,0.08568308669999979,-0.36072607719527394,0,1.0092384686359472,0.0,0.0
2022-09-23,109.14,31.73,3.439647021745982,3.4101682454687596,3.4364421541181716,0.0823786237687215,-0.31894085440388137,0,1.0092384686359472,0.0,0.0
2022-09-26,106.79,31.03,3.44150821785369,3.4172361040870625,3.4335104434541748,0.07888506112689707,-0.20630445276492695,0,1.0092384686359472,0.0,0.0
2022-09-27,105.85,30.57,3.462544978737324,3.4317819742858005,3.430990333361732,0.07536615674514441,0.01050393118419792,0,1.0092384686359472,0.0,0.0
2022-09-28,107.99,31.07,3.4757000321853875,3.448249280873707,3.4288354405989656,0.07208359138626798,0.26932398762861626,0,1.0092384686359472,0.0,0.0
2022-09-29,106.16,30.66,3.46249184605349,3.4563784193151745,3.426348888732566,0.06813426872055227,0.44074048414274913,0,1.0092384686359472,0.0,0.0
2022-09-30,104.5,30.2,3.460264900662252,3.4605019950984284,3.4240074154824613,0.06434795306539176,0.567144374878257,0,1.0092384686359472,0.0,0.0
2022-10-03,107.73,31.09,3.4651013187520103,3.465220615278093,3.421803143134305,0.06045670218408292,0.718158129293709,0,1.0092384686359472,0.0,0.0
2022-10-04,112.77,32.38,3.482705373687461,3.4692526942681203,3.4200580229055526,0.05700812081237445,0.8629414662601771,0,1.0092384686359472,0.0,0.0
2022-10-05,110.39,31.92,3.458333333333333,3.465779354497709,3.417657583563149,0.052015479782286295,0.925143267657555,0,1.0092384686359472,0.0,0.0
2022-10-06,108.14,31.46,3.4373808010171647,3.4607571454904447,3.414468448188835,0.04412206830706238,1.0491053361204346,-2,1.0092384686359472,0.0,0.0
2022-10-07,105.98,30.75,3.4465040650406507,3.458004978366124,3.41216906080067,0.038326893497693255,1.1959204981800264,-2,1.0092384686359472,0.0,0.0
2022-10-10,104.99,30.66,3.4243313763861707,3.449850989892956,3.41086915738385,0.03649621153473664,1.068106273770466,-2,1.0092384686359472,0.0,0.0
2022-10-11,101.96,29.77,3.424924420557608,3.4382947992669854,3.410196529675227,0.03584242164787347,0.7839389276708015,0,1.0092384686359472,0.0,0.0
2022-10-12,103.61,29.86,3.469859343603483,3.440600001321015,3.4107761444224414,0.036526344541671966,0.8165026441271324,0,1.0092384686359472,0.0,0.0
2022-10-13,109.37,31.69,3.451246449984222,3.443373131114427,3.4110726979653436,0.03678489357743841,0.8780896179864058,0,1.0092384686359472,0.0,0.0
2022-10-14,111.19,31.7,3.507570977917981,3.455586513689893,3.4124148294199945,0.038791786854794424,1.1129078542192197,-2,1.0092384686359472,0.0,0.0
2022-10-17,115.86,33.62,3.4461629982153483,3.4599528380557287,3.4126368002198446,0.038948458311711516,1.2148372461165307,-2,1.0092384686359472,0.0,0.0
2022-10-18,118.84,34.88,3.407110091743119,3.4563899722928304,3.4124894652037834,0.03895243195712339,1.1270286573472534,-2,1.0092384686359472,0.0,0.0
2022-10-19,116.51,33.92,3.4348466981132075,3.4493874431947757,3.4125407427492407,0.03898025851830884,0.9452656766816554,0,1.0092384686359472,0.0,0.0
2022-10-20,116.13,33.7,3.4459940652818988,3.448336966254311,3.4127942609852324,0.039150007532478756,0.9078594746014419,0,1.0092384686359472,0.0,0.0
2022-10-21,122.23,34.95,3.4972818311874105,3.446279136908197,3.4136543203165477,0.040430537116107196,0.8069350277973852,0,1.0092384686359472,0.0,0.0
2022-10-24,122.38,35.07,3.489592244083262,3.4549649860817793,3.4149473863583775,0.041600727094660846,0.9619447187147305,0,1.0092384686359472,0.0,0.0
2022-10-25,122.7,35.39,3.4670810963549026,3.466959187004136,3.41626514753613,0.04198365556364302,1.2074708309084394,-2,1.0092384686359472,0.0,0.0
2022-10-26,124.11,35.7,3.4764705882352938,3.4752839650285536,3.417492240068058,0.04265535177631558,1.3548528509049704,-2,1.0092384686359472,0.0,0.0
2022-10-27,124.6,35.87,3.4736548647895176,3.4808161249300773,3.4190993296694847,0.04292829064482062,1.4376718554023964,-2,1.0092384686359472,0.0,0.0
2022-10-28,126.08,36.18,3.484798231066888,3.478319404905973,3.4211114359158095,0.04313417353154336,1.326279474169787,-2,1.0092384686359472,0.0,0.0
2022-10-31,125.88,36.04,3.492785793562708,3.478958114801862,3.4225125968646655,0.044079787755990425,1.2805306198309767,-2,1.0092384686359472,0.0,0.0
2022-11-01,128.15,36.2,3.5400552486187844,3.4935529452546383,3.4246059830875395,0.046600902124118875,1.479519902500224,-2,1.0092384686359472,0.0,0.0
2022-11-02,126.97,36.09,3.5181490717650314,3.5018886419605857,3.426549583969158,0.04803217377690355,1.5685123546845336,1,1.0091184686359473,-0.002362762857367882,0.008312551953449708
2022-11-03,127.2,35.89,3.5441627194204512,3.5159902128867726,3.429355299476275,0.04989910302993622,1.7362018182675998,1,1.0069125227880626,-0.002362762857367882,0.008312551953449708
2022-11-04,130.68,36.79,3.5520521880945912,3.5294410042923134,3.432796399482994,0.05112830333953035,1.890236884402885,1,1.0061714048025272,-0.002362762857367882,0.008312551953449708
2022-11-07,131.37,37.01,3.549581194271819,3.540800084434136,3.4358817058889017,0.05250184220080351,1.9983751835593422,1,1.0063698598607023,-0.002362762857367882,0.008312551953449708
2022-11-08,131.45,37.11,3.5421719213150094,3.54122341897338,3.438614456301623,0.053702462369508756,1.9106938144798449,1,1.0070120940274578,-0.002362762857367882,0.008312551953449708
2022-11-09,129.74,36.52,3.5525739320920042,3.548108391038775,3.4415876681246993,0.05499738585878166,1.9368324739578013,1,1.0061480128610214,-0.002362762857367882,0.008312551953449708
2022-11-10,135.08,38.13,3.5426173616574874,3.5477993194861823,3.444515754794089,0.05562848426552917,1.8566668866815446,1,1.0069140678477309,-0.002362762857367882,0.008312551953449708
2022-11-11,135.3,38.41,3.5225201770372303,3.54189291727471,3.4473442333051656,0.05519950923579461,1.712853706102033,1,1.008721774566076,-0.002362762857367882,0.008312551953449708
2022-11-14,133.91,37.76,3.546345338983051,3.541245746216956,3.4507237582145596,0.0549452450668057,1.6474944809570804,1,1.006602856168075,-0.002362762857367882,0.008312551953449708
2022-11-15,132.94,37.7,3.526259946949602,3.538063351343875,3.4534895729985893,0.05449181143272641,1.552045639915962,1,1.008395983022515,-0.002362762857367882,0.008312551953449708
2022-11-16,133.12,37.36,3.5631691648822272,3.54018239790192,3.4569229988261574,0.054808713775928906,1.5190905485603423,1,1.005144418044016,-0.002362762857367882,0.008312551953449708
2022-11-17,132.54,37.17,3.5657788539144466,3.544814696353311,3.4604430287784202,0.05490626525981021,1.5366491815761598,1,1.004935435630134,-0.002362762857367882,0.008312551953449708
2022-11-18,133.84,37.19,3.5988168862597476,3.560074038197815,3.4641958391479744,0.05654399187886133,1.6956390212995214,1,1.0020300949546248,-0.002362762857367882,0.008312551953449708
2022-11-21,133.05,37.31,3.5660680782632004,3.5640185860538445,3.4674690768320255,0.0566638696673529,1.7038989710483237,1,1.0048941838463594,-0.002362762857367882,0.008312551953449708
2022-11-22,135.04,37.49,3.6020272072552677,3.579172038114978,3.4712639255665163,0.057931135917181555,1.8626963003578487,1,1.0016885451118185,-0.002362762857367882,0.008312551953449708
2022-11-23,136.48,37.61,3.628822121776123,3.5923026294937572,3.4758090248778237,0.059422514185711046,1.960428740053984,1,0.9992836728316227,-0.002362762857367882,0.008312551953449708
2022-11-25,136.74,37.7,3.627055702917772,3.604557999294422,3.4798630475769543,0.06130743672713082,2.033928645108166,2,0.9992901906841651,0.0,0.0
