date,CAT,DE,ratio,ins_ratio,long_mean,long_std,z_score
2022-08-31,184.71,365.25,0.5057084188911705,0.5069621407454385,0.5708629006474731,0.03838501752172006,-1.6647318153724042
2022-09-01,182.44,363.77,0.5015256893091788,0.5047914316408952,0.5689318622229538,0.038915487432993855,-1.6481980520608392
2022-09-02,180.83,362.22,0.49922698912263264,0.5034612271669348,0.5664641874289664,0.03855533035704877,-1.6340920873607125
2022-09-06,180.66,361.06,0.5003600509610591,0.5027581657635501,0.5640085332430372,0.037981506469639985,-1.6126366006163226
2022-09-07,180.86,365.94,0.49423402743619177,0.5002110351440465,0.5615476393799897,0.03763181548609386,-1.6299135038703896
2022-09-08,183.15,368.48,0.4970419018671298,0.4984777317392385,0.5592191749251129,0.03721977415836774,-1.631967000321481
2022-09-09,189.49,372.25,0.5090396239086635,0.4999805186591354,0.5571549619898489,0.036491923521753844,-1.5667697893927204
2022-09-12,192.4,374.03,0.5143972408630324,0.5030145690072153,0.5553424627402725,0.03585377720041677,-1.4594806410647572
2022-09-13,184.31,363.3,0.5073217726396917,0.5044069133429419,0.5535748826443979,0.03555722882169119,-1.382784061941909
2022-09-14,184.65,360.9,0.5116375727348297,0.5078876224026694,0.5521534067247661,0.03549954562515066,-1.2469394619725882
2022-09-15,182.49,358.77,0.5086545697800819,0.5102101559852599,0.5506913183773858,0.035453658748920966,-1.1418049312994532
2022-09-16,179.47,354.5,0.506262341325811,0.5096546994686892,0.5492825169733931,0.035512629771324036,-1.1158795549605516
2022-09-19,182.11,362.69,0.502109239295266,0.507197099155136,0.5476418169287298,0.035377620927915916,-1.1432288749998885
2022-09-20,177.99,355.59,0.5005483843752637,0.5058424215022506,0.5460396185955969,0.03529584059137644,-1.138864988617594
2022-09-21,171.95,349.81,0.491552557102427,0.50182541837577,0.5443171515415641,0.03539257274906349,-1.2005833389695721
2022-09-22,170.55,346.13,0.49273394389391273,0.4986412931985361,0.5424245838362897,0.035057084168577564,-1.248914211667309
2022-09-23,164.24,334.22,0.4914128418407037,0.49567139330151466,0.5404435023406085,0.03451200159774668,-1.297290999256821
2022-09-26,162.62,332.24,0.4894654466650614,0.4931426347754737,0.5386525726599942,0.03431909089124648,-1.3260822679929554
2022-09-27,162.44,335.68,0.4839132507149666,0.4898156080434143,0.5368663198454618,0.03433277658979173,-1.3704313042958864
2022-09-28,167.76,345.9,0.4849956634865568,0.48850422932024024,0.5350361861820431,0.03411806443035381,-1.3638510167184268
2022-09-29,165.9,341.0,0.48651026392961877,0.4872594933273815,0.5332123625275624,0.0337298454890545,-1.362380068271966
2022-09-30,164.08,333.89,0.4914193297193687,0.4872607909031144,0.5315179372912341,0.03322091568015446,-1.332207300190646
2022-10-03,171.23,344.05,0.4976892893474785,0.48890555943959785,0.5300143081501066,0.03266240201220672,-1.2585953934173448
2022-10-04,179.63,360.29,0.49857059590885117,0.4918370284783748,0.5285486764981938,0.03205169212801595,-1.1453887636631161
2022-10-05,178.38,355.77,0.5013913483430307,0.4951161654496696,0.5270789837162639,0.031216930997075804,-1.023893677107094
2022-10-06,178.81,355.47,0.5030241651897488,0.49841894570169554,0.525698472436585,0.030394299802597034,-0.8975211441639637
2022-10-07,177.55,356.15,0.4985259020075811,0.4998402601593381,0.5243842519322697,0.029821168007949813,-0.8230392507224595
2022-10-10,178.67,359.68,0.49674710854092524,0.4996518239980274,0.5229567306139757,0.029036716775920852,-0.8026012994442373
2022-10-11,179.75,363.33,0.4947293094432059,0.4988835667048983,0.521497570673751,0.028192631058166686,-0.8021246375407738
2022-10-12,179.5,361.21,0.49694083773981895,0.497993464584256,0.5201791605638496,0.027438038859664504,-0.8085744062491246
2022-10-13,183.14,367.17,0.4987880273442819,0.4971462370151626,0.5189809422473909,0.02675656137408882,-0.8160504979303183
2022-10-14,178.19,357.14,0.49893599148793194,0.4972282549112328,0.5177669407913131,0.02596116612480461,-0.7911310987088768
2022-10-17,180.8,362.59,0.4986348216994402,0.49760579754293577,0.5165437992545525,0.025075298836068523,-0.7552453047688574
2022-10-18,183.55,371.31,0.49433088255096824,0.4975261121644882,0.5154001644302534,0.024480696534072123,-0.7301284193808839
