date,JPM,BAC,ratio,ins_ratio,long_mean,long_std,z_score
2020-11-03,103.41,24.69,4.188335358444714,4.145890766550552,3.9937579049356726,0.11336463672260388,1.3419781160428303
2020-11-04,100.25,23.68,4.233530405405405,4.169929612863844,4.000039875288269,0.11604755197791873,1.4639665781825495
2020-11-05,104.35,24.61,4.240146281999187,4.192385377335049,4.006523919506899,0.11842909171973487,1.569390215944541
2020-11-06,102.96,24.31,4.235294117647059,4.212102428712562,4.012361996673249,0.12094448886902508,1.6515050326569138
2020-11-09,116.9,27.76,4.211095100864553,4.221680252872184,4.0180651117216595,0.12212739368023617,1.6672356218756776
2020-11-10,116.52,27.66,4.212581344902386,4.226529450163718,4.024111351639916,0.12263513831559897,1.6505717798669046
2020-11-11,114.78,27.34,4.198244330651061,4.21947223521285,4.02989616542861,0.12252457218180916,1.5472493917622936
2020-11-12,113.37,26.69,4.2476582989883855,4.220974638610689,4.036278705705867,0.12374195981264853,1.4925893624479543
2020-11-13,114.08,27.0,4.225185185185185,4.218952852118314,4.042043744316856,0.1243597916765663,1.4225587339480439
2020-11-16,117.3,27.58,4.253081943437274,4.227350220632859,4.0479964978176985,0.1257866104724423,1.4258570299455984
2020-11-17,116.11,27.55,4.214519056261343,4.22773776290465,4.053323469762264,0.12596090761276293,1.3846700253905846
2020-11-18,115.25,26.98,4.271682727946627,4.242425442363762,4.060095104971632,0.1266057081341454,1.4401431031762169
2020-11-19,115.56,26.98,4.283172720533729,4.249528326672832,4.066868640924189,0.12749945401432392,1.432631121135013
2020-11-20,114.57,26.81,4.273405445729206,4.259172378781637,4.0726090195942115,0.12893161667326733,1.4469946472493678
2020-11-23,117.87,27.39,4.303395399780942,4.269235070050369,4.0792055335449335,0.13046224128206246,1.4565864777272013
2020-11-24,123.32,28.98,4.255348516218081,4.277400962041717,4.0852549189421445,0.13006727522618575,1.47728198938151
2020-11-25,122.03,29.03,4.203582500861178,4.263780916624627,4.09039825233845,0.1285079209072392,1.3491982677965044
2020-11-27,121.22,28.99,4.181441876509141,4.24343474781971,4.094978778617446,0.12673172754000964,1.1714191235607951
2020-11-30,117.88,28.16,4.186079545454545,4.2259695677647775,4.098930974730958,0.1257945608393459,1.0098893957431276
2020-12-01,119.74,28.69,4.173579644475427,4.200006416703674,4.103481843711351,0.12341180090212692,0.7821340608170307
2020-12-02,122.04,29.06,4.199587061252581,4.1888541257105745,4.108116510326158,0.12167130407997996,0.6635715462648772
2020-12-03,121.24,28.91,4.193704600484262,4.1868785456351905,4.112109326449478,0.1204573997234634,0.6207108849880655
2020-12-04,122.34,29.29,4.176852167975419,4.1859606039284465,4.115540819092611,0.11929537867546464,0.5902976763870136
2020-12-07,121.88,29.09,4.189755929872808,4.1866958808121,4.119311261061079,0.11797725260333848,0.571166205892084
2020-12-08,122.0,28.93,4.2170756999654335,4.1953950919101,4.123272231465034,0.11718777868578033,0.6154469455253699
2020-12-09,121.05,28.8,4.203125,4.196102679659584,4.1278707283004765,0.11475211926121394,0.5946029737698288
2020-12-10,120.27,29.11,4.131569907248368,4.183675741012406,4.131821372587949,0.11058739928799309,0.4688994293953599
2020-12-11,119.56,28.57,4.184809240462023,4.1852671555097265,4.136768719232074,0.10603962226864229,0.4573614582932592
2020-12-14,118.3,28.22,4.192062367115521,4.185728442958269,4.141615930837905,0.10164650481159142,0.433979625783784
2020-12-15,120.32,28.64,4.201117318435754,4.182536766652333,4.146718328864144,0.09661513127084086,0.37073321038895973
2020-12-16,120.67,28.72,4.201601671309192,4.182232100914172,4.151115672230297,0.09287529264846552,0.3350345156020253
2020-12-17,119.67,28.83,4.150884495317378,4.186095018527974,4.153845375125885,0.0903454740938945,0.3569591473787899
2020-12-18,119.08,28.67,4.153470526682944,4.1798272757721575,4.156903074420929,0.08706311507474658,0.2633055494459112
2020-12-21,123.55,29.74,4.154337592468057,4.172282320842665,4.159823033302065,0.08387990780325913,0.1485372107206333
2020-12-22,121.67,29.21,4.165354330708661,4.165129723297246,4.162717308815261,0.08092436187601246,0.029810732220309853
2020-12-23,125.07,30.05,4.162063227953411,4.15722203462609,4.16522904835281,0.07844774842234031,-0.10206811397074056
