date,CVX,XOM,ratio,ins_ratio,long_mean,long_std,z_score
2022-04-12,169.01,85.6,1.9744158878504674,1.9681342006628266,1.863288244140911,0.1292151287991062,0.8114061990753575
2022-04-13,171.67,86.81,1.9775371500979149,1.969595007849176,1.866740719722273,0.12945804354838994,0.7944990153389522
2022-04-14,171.59,87.83,1.9536604804736424,1.967381777665245,1.869914503000308,0.12921147035616537,0.7543237020387819
2022-04-18,173.89,88.55,1.9637492941840766,1.9687682095098906,1.873425241998731,0.12884504030690416,0.7399816654491024
2022-04-19,171.83,87.76,1.9579535095715588,1.965463264435532,1.8767496853929804,0.12840169436116156,0.6909066074550607
2022-04-20,172.53,87.96,1.9614597544338337,1.9628720377522053,1.8803203808926456,0.12771559136628804,0.6463710184201528
2022-04-21,164.58,87.03,1.8910720441227165,1.9455790165571656,1.8823462780113156,0.1268896015290426,0.4983287659814837
2022-04-22,160.95,85.13,1.8906378479971808,1.9329744900618735,1.884040271356772,0.1262993488769663,0.38744632605169127
2022-04-25,157.49,82.26,1.914539265742767,1.9231324843736115,1.885915091565016,0.12589590143045695,0.29562036877867565
2022-04-26,156.53,82.29,1.9021752339287883,1.9119768292450572,1.8887015225803718,0.12433939812653153,0.18719172696171252
2022-04-27,156.24,84.64,1.84593572778828,1.8888720239159464,1.8906515133392796,0.12269796891745284,-0.014503006358078765
2022-04-28,161.79,87.2,1.8553899082568805,1.8817355967427793,1.89378177980066,0.11925791430394671,-0.10100950639786577
2022-04-29,156.67,85.25,1.8377712609970673,1.8711622793427565,1.8964178335221482,0.11615115932826782,-0.21743695306573896
2022-05-02,159.75,86.41,1.8487443582918643,1.858003297852576,1.89915962369716,0.11295532371318362,-0.3643593280214767
2022-05-03,162.49,88.19,1.8424991495634426,1.846068080979507,1.9020499024847701,0.10912200233288126,-0.5130204753252997
2022-05-04,167.59,91.7,1.8275899672846239,1.8423989288787759,1.9044824665913727,0.10569832968065614,-0.5873653623493229
2022-05-05,166.26,90.31,1.8409921381906764,1.8395193748655347,1.9068327508781044,0.10259616388568633,-0.6561003205497131
2022-05-06,170.69,91.69,1.8615988657432654,1.8442848958147746,1.9087897783873276,0.10054022565186188,-0.6415828306961671
2022-05-09,159.25,84.46,1.8855079327492306,1.8516376107062478,1.9112357013291943,0.09808871084778537,-0.6075937802407373
2022-05-10,160.78,85.02,1.8910844507174784,1.861354670937055,1.913910738480017,0.09522527797086744,-0.551912986371545
2022-05-11,163.16,86.79,1.879940085263279,1.8718246945327859,1.9164024384745502,0.09225265942639337,-0.4832136462941972
2022-05-12,164.71,86.3,1.908574739281576,1.8853412147509658,1.9195203048498484,0.08864466856193752,-0.3855741202867833
2022-05-13,167.87,88.86,1.8891514742291244,1.8908517364481376,1.922437773049349,0.08455568971702586,-0.37355305960979257
2022-05-16,173.01,90.95,1.902253985706432,1.8942009470395778,1.9256767967192567,0.07978647981238547,-0.39450104521083157
2022-05-17,174.03,92.11,1.8893714037563782,1.8938583376473581,1.928421921631915,0.07546991960779532,-0.45797828014363945
2022-05-18,168.06,90.65,1.8539437396580254,1.8886590685263074,1.9304605776468795,0.0716175313235312,-0.583677045941927
2022-05-19,166.86,91.14,1.8308097432521397,1.87310606932042,1.9315463455226702,0.06954046639563131,-0.8403779731612726
2022-05-20,167.82,91.86,1.8269105160026127,1.8606578776751177,1.9323444583443496,0.06801844293122594,-1.0539285755440608
2022-05-23,171.72,93.89,1.8289487698370432,1.8459968345012399,1.9327695551763375,0.06727482665860915,-1.2898245151255752
2022-05-24,172.64,94.4,1.8288135593220336,1.8338852656143712,1.9326453435215796,0.06746264163024294,-1.4639224839208653
